nuts,March Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
ITG2,55.75605
ITH1,85.70465
ITH2,91.29931
FRI3,68.996124
FRJ1,72.672295
FRJ2,81.36674
FRK1,77.98118
FRK2,101.0885
FRL0,65.980545
FRM0,68.76264
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,77.20339
TR32,64.54036
TR33,60.108543
HR03,108.80617
HR02,76.39152
HU11,49.763645
HU12,51.25516
HU21,55.01448
HU22,58.579014
PT16,69.104614
PT17,44.85687
FRF2,86.12429
FRF3,91.05991
FRG0,65.75434
FRH0,75.36177
FRI1,80.05693
FRI2,89.17231
ITC4,85.52357
ITF1,83.684616
ITF2,76.37671
ITF3,90.34187
ITF4,60.926895
ITF5,65.59008
ITF6,82.142044
ITG1,53.178444
LT01,60.433773
LT02,57.37699
LU00,87.368385
PL22,73.98132
PL41,59.50786
PL42,63.803383
PT18,46.78017
PT20,0.0
PT30,0.0
RO11,82.7422
RO12,75.414444
RO21,60.237797
RO22,57.22099
RO31,62.0689
RO32,58.20818
ITH3,92.81407
ITH4,122.962425
ITH5,81.76014
ITI1,77.22696
ITI2,83.87152
ITI3,77.48381
ITI4,88.658615
LI00,146.09114
FI1D,47.627323
TR82,87.267105
TR83,83.94366
TR90,113.385056
TRA1,69.041466
TRA2,2.7263484
PL43,62.709282
PL51,68.98775
PL52,64.6542
PL61,55.754314
PL62,59.212334
PL63,58.954945
PL71,61.445454
PL72,62.928867
PL81,64.07329
PL82,73.821175
PL84,56.878883
PL91,60.190613
PL92,58.096092
PT11,91.63779
PT15,43.3369
TRB1,100.2817
TRB2,7.401071
TRC1,69.604256
RS12,65.08634
RS21,84.760506
RS22,74.859245
SE11,43.192814
SE12,46.526882
NL33,74.916954
NL34,72.16722
NL41,76.537926
NL42,77.17504
PL21,76.94982
UKM6,130.00139
TR22,76.67589
TRC2,70.46228
TRC3,13.480412
UKC1,74.57781
UKC2,74.627594
UKD1,108.595604
UKD3,96.40065
UKD4,106.9944
UKD6,80.36797
UKD7,87.96923
UKE1,65.40814
UKE2,81.57421
UKE3,73.85479
RO41,68.597015
RO42,79.20056
RS11,74.75367
TR41,71.49279
TR42,88.166534
TR51,54.643196
TR52,49.22572
TR61,63.311333
TR62,76.7468
TR63,85.22436
TR71,57.72571
TR72,73.27652
TR81,97.40953
UKK1,66.60329
UKK2,72.330086
UKK3,84.90754
UKK4,80.98832
UKL1,104.6307
UKL2,90.62743
UKM5,83.52803
UKM7,108.20825
UKM8,125.17481
UKM9,104.73778
UKN0,92.390884
SE21,47.81599
SE22,52.910976
SE23,60.369255
SE31,51.650185
SE32,58.735806
SE33,56.925972
SI03,88.89075
SI04,112.74218
SK01,54.023705
SK02,59.897736
SK03,74.58427
SK04,66.32959
TR10,66.69344
TR21,69.14337
UKE4,86.28974
UKF1,72.01367
UKF2,61.292156
UKF3,61.780857
UKG1,66.903366
UKG2,75.12628
UKG3,67.13219
UKH1,61.58195
UKH2,60.76865
UKH3,60.742924
UKI3,61.505005
UKI4,61.505005
UKI5,60.78581
UKI6,62.95874
UKI7,62.063564
UKJ1,63.297626
UKJ2,67.41995
UKJ3,69.023026
UKJ4,63.59847
NO09,114.002
NO0A,170.38058
NO0B,62.7344
HR05,72.787415
HR06,70.50417
NO02,68.83421
NO06,107.33087
NO07,86.143234
NO08,74.76152
