nuts,Spring Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
UKD3,242.53659
UKD4,255.26149
UKD6,215.68262
UKD7,226.90504
UKE1,177.72855
UKE2,207.12074
UKE3,196.60774
RO41,253.9763
RO42,264.41232
RS11,216.69379
TR41,185.70891
TR42,234.77985
TR51,169.79619
TR52,153.29662
TR61,190.57857
TR62,232.10571
TR63,232.99895
TR71,175.97878
TR72,241.3282
TR81,268.66626
UKK1,194.38136
UKK2,201.72676
UKK3,221.9663
UKK4,219.48483
UKL1,250.80606
UKL2,239.39052
UKM5,215.92824
UKM7,251.1135
UKM8,288.8723
UKM9,247.72885
UKN0,236.64943
SE21,145.02043
SE22,150.54489
SE23,167.2388
SE31,163.5382
SE32,167.95294
SE33,156.64961
SI03,282.47885
SI04,348.6681
SK01,176.82397
SK02,196.77452
SK03,248.02386
SK04,226.38327
TR10,160.41945
TR21,167.50209
UKE4,215.96361
UKF1,196.25374
UKF2,180.83078
UKF3,176.29752
UKG1,192.49881
UKG2,204.22757
UKG3,193.95302
UKH1,170.22504
UKH2,177.53789
UKH3,169.81534
UKI3,171.66734
UKI4,171.66734
UKI5,173.48807
UKI6,177.9619
UKI7,173.6686
UKJ1,181.77907
UKJ2,177.97993
UKJ3,183.53743
UKJ4,175.74332
NO09,266.9997
NO0A,381.56143
NO0B,138.60962
HR05,228.42697
HR06,218.39818
NO02,206.40508
NO06,280.82693
NO07,241.82887
NO08,213.3262
