nuts,Spring Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
FI20,109.63192
FR10,200.83629
FRB0,214.78127
FRC1,267.47998
FRC2,368.8961
FRD1,214.99263
FRD2,210.17256
FRE1,209.65123
FRE2,215.40285
FRF1,295.61398
NL13,197.67386
NL21,207.1616
NL22,208.2652
NL23,205.39163
NL31,209.51846
NL32,188.25343
ITG2,148.63326
ITH1,334.99396
ITH2,370.85745
FRI3,217.35957
FRJ1,242.63356
FRJ2,292.1883
FRK1,286.51492
FRK2,331.2098
FRL0,231.64398
FRM0,180.92854
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,167.70819
TR32,166.01332
TR33,164.37166
HR03,306.8791
HR02,249.30864
HU11,170.60524
HU12,175.63828
HU21,179.41664
HU22,186.13385
PT16,199.82956
PT17,132.07594
FRF2,249.27618
FRF3,274.24417
FRG0,200.4637
FRH0,213.2956
FRI1,267.25824
FRI2,301.10507
ITC4,314.3956
ITF1,243.73782
ITF2,212.2875
ITF3,243.7612
ITF4,140.23396
ITF5,176.28798
ITF6,198.75537
ITG1,114.64494
LT01,201.30553
LT02,186.6897
LU00,246.8199
PL22,238.31851
PL41,169.71225
PL42,179.51755
PT18,133.70502
PT20,0.0
PT30,0.0
RO11,276.0897
RO12,284.27005
RO21,225.42589
RO22,174.26299
RO31,210.60591
RO32,195.39626
ITH3,320.61353
ITH4,398.66602
ITH5,246.47829
ITI1,226.50708
ITI2,255.70168
ITI3,220.0733
ITI4,254.70744
LI00,490.57687
FI1D,150.07645
TR82,265.26413
TR83,258.36713
TR90,370.29584
TRA1,246.96808
TRA2,8.851716
PL43,178.63786
PL51,202.44138
PL52,203.17152
PL61,169.06635
PL62,187.53253
PL63,175.32413
PL71,189.65236
PL72,208.23557
PL81,207.12137
PL82,247.67068
PL84,191.31241
PL91,192.01569
PL92,189.0492
PT11,265.33347
PT15,111.252686
TRB1,286.93915
TRB2,20.397144
TRC1,178.4076
RS12,196.59859
RS21,263.7609
RS22,233.42981
SE11,123.71806
SE12,146.40475
NL33,202.48416
NL34,207.41653
NL41,205.94096
NL42,210.10297
PL21,264.73343
UKM6,305.5004
TR22,175.54749
TRC2,167.94989
TRC3,33.365067
UKC1,201.582
UKC2,198.24168
UKD1,265.0887
UKD3,248.45445
UKD4,258.61765
UKD6,224.32762
UKD7,233.74652
UKE1,183.28737
UKE2,211.60551
UKE3,204.34467
RO41,235.53387
RO42,259.99368
RS11,223.40762
TR41,182.0018
TR42,239.17226
TR51,166.89748
TR52,146.104
TR61,185.42592
TR62,219.26057
TR63,225.16025
TR71,173.82358
TR72,240.24275
TR81,282.34314
UKK1,204.66441
UKK2,209.9371
UKK3,226.90656
UKK4,223.13664
UKL1,263.89767
UKL2,247.74448
UKM5,224.0324
UKM7,261.5557
UKM8,313.62045
UKM9,264.54877
UKN0,249.15848
SE21,150.33215
SE22,158.89061
SE23,182.67392
SE31,177.47235
SE32,178.95177
SE33,168.3799
SI03,293.97476
SI04,356.1218
SK01,179.82468
SK02,198.9011
SK03,254.96648
SK04,239.83913
TR10,152.96097
TR21,167.64668
UKE4,224.00316
UKF1,204.63339
UKF2,185.91629
UKF3,180.04378
UKG1,202.37459
UKG2,213.35825
UKG3,202.83643
UKH1,173.25842
UKH2,178.15915
UKH3,170.18045
UKI3,176.73549
UKI4,176.73549
UKI5,178.02524
UKI6,180.36818
UKI7,178.89854
UKJ1,186.47713
UKJ2,178.66759
UKJ3,190.38231
UKJ4,175.21765
NO09,288.0446
NO0A,401.90735
NO0B,143.24988
HR05,238.76036
HR06,233.00186
NO02,214.51704
NO06,295.1613
NO07,249.62636
NO08,225.42334
