nuts,June Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
PL52,101.04788
PL61,79.070984
PL62,90.47975
PL63,91.360054
PL71,89.239456
PL72,96.36975
PL81,96.35517
PL82,119.63478
PL84,93.15434
PL91,90.88544
PL92,88.58685
PT11,33.78076
PT15,6.240432
TRB1,26.772652
TRB2,1.9993235
TRC1,10.827077
RS12,76.743225
RS21,92.27251
RS22,77.25043
SE11,73.20133
SE12,83.716576
NL33,75.64648
NL34,72.60609
NL41,81.68959
NL42,86.79103
PL21,121.47526
UKM6,89.67153
TR22,27.86208
TRC2,7.791918
TRC3,1.3801035
UKC1,78.94262
UKC2,75.66017
UKD1,95.17754
UKD3,95.65736
UKD4,94.11247
UKD6,86.95858
UKD7,88.355606
UKE1,74.79658
UKE2,81.39921
UKE3,78.50479
RO41,103.79951
RO42,116.714775
RS11,85.03293
TR41,38.82288
TR42,60.920662
TR51,31.41365
TR52,23.473322
TR61,22.22122
TR62,35.359314
TR63,20.342285
TR71,29.243467
TR72,37.355934
TR81,75.20189
UKK1,67.05986
UKK2,68.82739
UKK3,73.055916
UKK4,73.84383
UKL1,88.33662
UKL2,83.17702
UKM5,81.40969
UKM7,91.14817
UKM8,99.456314
UKM9,87.917625
UKN0,88.491745
SE21,89.9128
SE22,86.79974
SE23,104.06778
SE31,94.93075
SE32,96.25027
SE33,91.323654
SI03,131.85382
SI04,148.39883
SK01,86.67429
SK02,91.222824
SK03,113.16622
SK04,111.37415
TR10,33.248356
TR21,40.031868
UKE4,83.67327
UKF1,77.894165
UKF2,67.27329
UKF3,70.5923
UKG1,69.64231
UKG2,82.29535
UKG3,76.41104
UKH1,61.41818
UKH2,61.697933
UKH3,62.080833
UKI3,61.266857
UKI4,61.266857
UKI5,58.897472
UKI6,64.04721
UKI7,61.525936
UKJ1,62.847473
UKJ2,61.37432
UKJ3,61.126373
UKJ4,61.092422
NO09,109.38907
NO0A,128.1412
NO0B,23.734507
HR05,101.38791
HR06,104.377594
NO02,111.2205
NO06,125.01843
NO07,96.66344
NO08,106.51114
