nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
TR21,35.779915
UKE4,78.271126
UKF1,72.186
UKF2,67.31224
UKF3,66.79039
UKG1,72.91811
UKG2,76.9559
UKG3,71.031105
UKH1,64.60103
UKH2,69.36702
UKH3,64.936714
UKI3,68.21632
UKI4,68.21632
UKI5,67.94692
UKI6,67.12855
UKI7,67.45821
UKJ1,70.84449
UKJ2,62.91355
UKJ3,63.84403
UKJ4,63.438232
NO09,112.59337
NO0A,128.42815
NO0B,41.1663
HR05,89.58102
HR06,87.69793
NO02,106.363
NO06,112.45591
NO07,91.58571
NO08,105.01518
