nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DEA2,84.48165
DEA3,73.012436
DEA4,73.34293
DEA5,88.43641
DEB1,82.018234
DEB2,84.524895
DEB3,85.971405
DEC0,90.62566
DED2,74.166725
DED4,85.89772
DED5,69.557076
DEE0,69.90425
DEF0,68.529495
DEG0,80.8374
DK01,52.642265
DK02,53.267147
DK03,61.880424
DK04,60.44333
ES41,70.00366
ES42,56.26628
HU23,73.06147
HU31,87.74128
HU32,81.34841
HU33,70.03487
IE04,87.81176
EE00,57.671223
EL30,16.897734
EL41,18.06957
EL43,15.253478
EL51,64.096176
EL52,61.16248
FI20,38.12221
FR10,72.74053
FRB0,77.44022
FRC1,96.84956
FRC2,143.55421
FRD1,76.22082
FRD2,75.36861
FRE1,74.49951
FRE2,76.28912
FRF1,113.47061
NL13,72.60876
NL21,74.55965
NL22,74.77633
NL23,75.38253
NL31,75.05856
NL32,66.10761
ITG2,45.74137
ITH1,144.85028
ITH2,163.34633
FRI3,81.35289
FRJ1,88.078445
FRJ2,112.94624
FRK1,112.58346
FRK2,133.23001
FRL0,87.891594
FRM0,57.767673
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,31.870552
TR32,35.728043
TR33,45.15476
HR03,95.86901
HR02,91.59386
HU11,71.69931
HU12,76.33818
HU21,73.52745
HU22,77.70823
PT16,68.67432
PT17,39.10106
FRF2,88.66614
FRF3,100.27342
FRG0,74.08635
FRH0,71.712105
FRI1,96.20287
FRI2,106.98583
ITC4,136.12
ITF1,78.18715
ITF2,63.492645
ITF3,62.959675
ITF4,35.407463
ITF5,47.990936
ITF6,47.763004
ITG1,24.27514
LT01,72.95585
LT02,66.747475
LU00,88.31902
PL22,95.71003
PL41,64.2164
PL42,66.65061
PT18,38.999134
PT20,0.0
PT30,0.0
RO11,108.94078
RO12,116.021515
RO21,85.10742
RO22,61.863865
RO31,85.202354
RO32,71.07119
ITH3,132.52904
ITH4,164.07164
ITH5,88.58598
ITI1,72.589836
ITI2,80.55941
ITI3,74.641174
ITI4,72.0373
LI00,209.07031
FI1D,61.353104
TR82,80.92599
TR83,83.38189
TR90,140.68791
TRA1,94.40125
TRA2,3.3966641
PL43,64.575356
PL51,74.88429
PL52,79.24469
PL61,65.659676
PL62,75.87406
PL63,67.13168
PL71,74.60354
PL72,82.34712
PL81,79.920616
PL82,98.232864
PL84,77.11903
PL91,74.900375
PL92,75.429825
PT11,92.22504
PT15,28.390749
TRB1,83.763535
TRB2,6.0279865
TRC1,45.931263
RS12,74.7246
RS21,99.20279
RS22,85.83011
SE11,41.822903
SE12,53.66278
NL33,69.54981
NL34,71.24642
NL41,73.5402
NL42,75.981255
PL21,107.21089
UKM6,83.39987
TR22,41.45927
TRC2,42.118298
TRC3,8.405228
UKC1,64.81098
UKC2,64.90378
UKD1,84.50423
UKD3,80.539925
UKD4,83.30368
UKD6,73.67473
UKD7,75.66272
UKE1,60.45849
UKE2,68.802086
UKE3,66.40877
RO41,100.747604
RO42,106.3828
RS11,80.11139
TR41,50.39592
TR42,69.76035
TR51,47.311874
TR52,42.723217
TR61,46.999157
TR62,67.190346
TR63,59.504623
TR71,53.274208
TR72,80.81292
TR81,82.97287
UKK1,71.484055
UKK2,68.89892
UKK3,73.7135
UKK4,73.07244
UKL1,82.63962
UKL2,83.52656
UKM5,69.587524
UKM7,82.98503
UKM8,89.017334
UKM9,79.55516
UKN0,79.356514
SE21,57.131466
SE22,58.110054
SE23,64.182076
SE31,66.699844
SE32,66.77604
SE33,59.871006
SI03,110.44018
SI04,133.55435
SK01,76.30722
SK02,85.565834
SK03,112.2399
SK04,106.26436
TR10,34.814762
TR21,46.586613
UKE4,71.43899
UKF1,69.52001
UKF2,67.83172
UKF3,63.34126
UKG1,70.85398
UKG2,72.692024
UKG3,72.50094
UKH1,61.95396
UKH2,65.344124
UKH3,63.109627
UKI3,61.74386
UKI4,61.74386
UKI5,62.404457
UKI6,64.41867
UKI7,61.543003
UKJ1,67.36508
UKJ2,62.03136
UKJ3,61.909435
UKJ4,66.051254
NO09,93.7701
NO0A,113.39391
NO0B,32.582676
HR05,90.02687
HR06,88.047005
NO02,84.93836
NO06,90.82268
NO07,78.01494
NO08,81.20033
