nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
UKK2,64.498535
UKK3,68.02221
UKK4,70.92848
UKL1,79.42712
UKL2,78.42119
UKM5,71.99472
UKM7,80.26495
UKM8,96.79618
UKM9,82.10318
UKN0,79.08115
SE21,51.367603
SE22,53.00953
SE23,60.38548
SE31,59.122757
SE32,62.97285
SE33,54.067097
SI03,97.14155
SI04,118.61681
SK01,52.127747
SK02,61.386715
SK03,75.21413
SK04,77.243
TR10,48.70101
TR21,51.258717
UKE4,74.33786
UKF1,66.256256
UKF2,58.682304
UKF3,56.64241
UKG1,61.990135
UKG2,67.974785
UKG3,62.633343
UKH1,53.395557
UKH2,55.20781
UKH3,54.48912
UKI3,55.780132
UKI4,55.780132
UKI5,55.572807
UKI6,58.429607
UKI7,54.562286
UKJ1,57.047604
UKJ2,55.498215
UKJ3,57.974552
UKJ4,57.47824
NO09,84.28855
NO0A,128.33012
NO0B,56.03123
HR05,78.15108
HR06,76.40903
NO02,68.00495
NO06,98.69705
NO07,81.093185
NO08,69.971954
