nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
PT17,38.26254
FRF2,86.62141
FRF3,98.29705
FRG0,70.70607
FRH0,74.12118
FRI1,89.07373
FRI2,103.20218
ITC4,119.49815
ITF1,72.07327
ITF2,60.19356
ITF3,54.897408
ITF4,32.383286
ITF5,45.433926
ITF6,41.146305
ITG1,21.309744
LT01,82.02494
LT02,73.22521
LU00,83.845085
PL22,100.15529
PL41,69.17961
PL42,70.78003
PT18,35.531013
PT20,0.0
PT30,0.0
RO11,106.8647
RO12,115.75915
RO21,90.2669
RO22,59.029926
RO31,81.46102
RO32,65.700905
ITH3,127.86466
ITH4,157.81221
ITH5,82.43915
ITI1,66.340935
ITI2,73.36535
ITI3,67.39352
ITI4,69.043884
LI00,216.57594
FI1D,66.48127
TR82,80.85404
TR83,79.30274
TR90,137.2847
TRA1,98.16622
TRA2,3.618978
PL43,66.91643
PL51,78.14091
PL52,84.8225
PL61,68.32133
PL62,75.079834
PL63,70.30695
PL71,80.772354
PL72,83.566246
PL81,87.02842
PL82,101.77846
PL84,78.776405
PL91,81.71204
PL92,80.271126
PT11,75.65736
PT15,26.636906
TRB1,81.4217
TRB2,6.036504
TRC1,37.556084
RS12,75.90357
RS21,100.48053
RS22,84.55071
SE11,46.091892
SE12,61.151413
NL33,76.28949
NL34,74.59219
NL41,80.148834
NL42,77.18515
PL21,109.72247
UKM6,89.4036
TR22,39.39387
TRC2,36.748245
TRC3,6.5738993
UKC1,65.31518
UKC2,66.65872
UKD1,92.24329
UKD3,81.414894
UKD4,87.370766
UKD6,73.77921
UKD7,77.21614
UKE1,61.73947
UKE2,69.69909
UKE3,68.37086
RO41,97.936775
RO42,97.14014
RS11,81.6719
TR41,50.23148
TR42,69.99681
TR51,49.782085
TR52,42.221344
TR61,43.57552
TR62,66.2075
TR63,51.648483
TR71,52.16994
TR72,78.31834
TR81,80.613434
UKK1,68.40778
UKK2,66.23912
UKK3,70.366135
UKK4,69.42408
UKL1,84.21041
UKL2,82.79749
UKM5,73.742744
UKM7,85.782
UKM8,95.43529
UKM9,84.66411
UKN0,84.1858
SE21,64.089226
SE22,63.81516
SE23,76.55688
SE31,77.0274
SE32,74.67719
SE33,65.62746
SI03,107.75771
SI04,129.12373
SK01,77.478134
SK02,90.41612
SK03,112.89265
SK04,102.59666
TR10,33.816753
TR21,42.11725
UKE4,74.5739
UKF1,69.345245
UKF2,64.30826
UKF3,62.169106
UKG1,67.71354
UKG2,70.911064
UKG3,70.028725
UKH1,63.068684
UKH2,64.961296
UKH3,64.7398
UKI3,66.99918
UKI4,66.99918
UKI5,66.6394
UKI6,66.8712
UKI7,67.28661
UKJ1,63.89541
UKJ2,60.257996
UKJ3,62.41585
UKJ4,62.633266
NO09,104.15279
NO0A,123.706276
NO0B,38.94111
HR05,85.19669
HR06,83.951035
NO02,95.591095
NO06,100.527374
NO07,84.8717
NO08,92.64305
