nuts,September Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
UKM9,99.45977
UKN0,94.16293
SE21,65.991394
SE22,68.14296
SE23,86.78315
SE31,76.19266
SE32,88.59642
SE33,85.855736
SI03,123.627914
SI04,147.95493
SK01,75.198784
SK02,71.92663
SK03,81.059425
SK04,79.27197
TR10,45.43096
TR21,32.606728
UKE4,71.246284
UKF1,61.040413
UKF2,52.548332
UKF3,56.708416
UKG1,58.851448
UKG2,62.842793
UKG3,60.435215
UKH1,56.92295
UKH2,47.206036
UKH3,47.908432
UKI3,42.774605
UKI4,42.774605
UKI5,44.17882
UKI6,45.239285
UKI7,45.89006
UKJ1,53.19105
UKJ2,55.680607
UKJ3,58.481194
UKJ4,53.298473
NO09,129.5112
NO0A,212.5145
NO0B,59.78668
HR05,95.62849
HR06,96.51354
NO02,93.52224
NO06,147.61948
NO07,113.329346
NO08,98.16324
