nuts,January Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,111.96901
TR32,107.38792
TR33,67.38447
HR03,125.601074
HR02,77.224525
HU11,53.165115
HU12,52.84555
HU21,55.022324
HU22,52.934395
PT16,96.59304
PT17,64.707855
FRF2,107.02328
FRF3,117.73531
FRG0,86.331276
FRH0,102.099205
FRI1,94.21233
FRI2,106.54362
ITC4,82.46099
ITF1,81.896736
ITF2,82.165695
ITF3,110.04728
ITF4,63.121613
ITF5,65.239334
ITF6,99.40464
ITG1,68.064766
LT01,69.63137
LT02,72.32675
LU00,103.600464
PL22,66.041756
PL41,58.286438
PL42,71.12678
PT18,53.200527
PT20,0.0
PT30,0.0
RO11,74.15323
RO12,57.49178
RO21,47.100697
RO22,50.61493
RO31,55.12369
RO32,53.455257
ITH3,79.55981
ITH4,109.956474
ITH5,74.60645
ITI1,89.29693
ITI2,78.05454
ITI3,70.58238
ITI4,93.64216
LI00,133.62767
FI1D,54.77318
TR82,80.781006
TR83,74.72032
TR90,108.35375
TRA1,57.300346
TRA2,2.4716635
PL43,62.55225
PL51,65.39765
PL52,56.755062
PL61,59.074295
PL62,67.405014
PL63,68.864876
PL71,55.716434
PL72,55.62754
PL81,57.592327
PL82,64.27489
PL84,60.466766
PL91,61.452312
PL92,60.326424
PT11,123.89489
PT15,42.866604
TRB1,101.54205
TRB2,6.7363033
TRC1,94.91325
RS12,57.49184
RS21,74.38304
RS22,64.3981
SE11,59.24132
SE12,56.102467
NL33,92.39335
NL34,82.27682
NL41,83.88336
NL42,87.96109
PL21,65.84564
UKM6,179.3976
TR22,98.56949
TRC2,82.67882
TRC3,15.067479
UKC1,90.307304
UKC2,88.44294
UKD1,143.81586
UKD3,109.95669
UKD4,134.14001
UKD6,88.39774
UKD7,104.53563
UKE1,71.59972
UKE2,95.096176
UKE3,75.026054
RO41,61.616932
RO42,70.85692
RS11,61.870094
TR41,74.5362
TR42,95.34923
TR51,55.825382
TR52,66.132645
TR61,106.30232
TR62,97.334915
TR63,98.28515
TR71,61.905754
TR72,70.00041
TR81,101.249245
UKK1,84.40437
UKK2,98.27735
UKK3,117.46517
UKK4,109.11557
UKL1,139.63326
UKL2,114.64259
UKM5,96.96516
UKM7,141.33556
UKM8,177.01039
UKM9,140.98907
UKN0,117.478
SE21,67.24585
SE22,75.610214
SE23,85.314674
SE31,65.567276
SE32,75.822845
SE33,71.078575
SI03,80.04987
SI04,100.22394
SK01,51.33868
SK02,61.638596
SK03,69.83822
SK04,58.560116
TR10,90.09783
TR21,76.33018
UKE4,92.89007
UKF1,75.6523
UKF2,64.20324
UKF3,66.52848
UKG1,76.279976
UKG2,81.34773
UKG3,73.98737
UKH1,70.07758
UKH2,64.02538
UKH3,70.31035
UKI3,71.2249
UKI4,71.2249
UKI5,68.0157
UKI6,74.65388
UKI7,67.95205
UKJ1,69.99113
UKJ2,91.01573
UKJ3,89.87803
UKJ4,84.12988
NO09,154.60704
NO0A,233.58603
NO0B,74.59835
HR05,73.47227
HR06,69.50916
NO02,83.89615
NO06,137.31377
NO07,102.31778
NO08,94.735985
