nuts,March Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
FI1B,44.543625
FI1C,41.607193
DEA1,74.20738
DEA2,79.79828
DEA3,72.743225
DEA4,72.39578
DEA5,86.204926
DEB1,72.65853
DEB2,77.92787
DEB3,68.04974
DEC0,79.19497
DED2,64.237915
DED4,71.351746
DED5,58.026234
DEE0,56.108143
DEF0,60.149914
DEG0,64.094604
DK01,50.81433
DK02,50.914864
DK03,58.385696
DK04,57.33297
ES41,57.13514
ES42,44.841957
HU23,54.330036
HU31,46.083664
HU32,48.578365
HU33,47.579197
IE04,98.6705
EE00,44.088726
EL30,54.710182
EL41,74.68915
EL43,51.552795
EL51,77.793526
EL52,73.61184
FI20,36.043747
FR10,64.80029
FRB0,64.80791
FRC1,77.98576
FRC2,113.58391
FRD1,74.75199
FRD2,70.69894
FRE1,69.75505
FRE2,71.816284
FRF1,89.45784
NL13,66.20203
NL21,69.570145
NL22,70.47722
NL23,69.45579
NL31,69.04333
NL32,67.649155
ITG2,61.36019
ITH1,86.49182
ITH2,85.934
FRI3,66.44832
FRJ1,68.153114
FRJ2,86.565216
FRK1,77.056786
FRK2,94.66848
FRL0,69.70411
FRM0,69.270164
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,88.52254
TR32,84.60612
TR33,70.758255
HR03,110.39335
HR02,73.18589
HU11,45.05995
HU12,45.09397
HU21,49.744587
HU22,54.27479
PT16,65.91312
PT17,50.037235
FRF2,79.00735
FRF3,87.55566
FRG0,64.150734
FRH0,73.87172
FRI1,82.32171
FRI2,88.7338
ITC4,81.66877
ITF1,89.03608
ITF2,87.12692
ITF3,109.16813
ITF4,65.31115
ITF5,78.79732
ITF6,103.24973
ITG1,64.58178
LT01,50.998558
LT02,49.9462
LU00,80.30486
PL22,61.948704
PL41,52.11705
PL42,56.357872
PT18,49.663162
PT20,0.0
PT30,0.0
RO11,69.00296
RO12,64.21806
RO21,55.716812
RO22,52.029648
RO31,58.130547
RO32,56.462772
ITH3,82.696304
ITH4,113.89116
ITH5,81.80172
ITI1,79.93838
ITI2,88.066925
ITI3,79.52801
ITI4,96.10443
LI00,137.04404
FI1D,37.95381
TR82,84.79488
TR83,80.785515
TR90,106.512115
TRA1,70.01299
TRA2,2.2261815
PL43,54.682262
PL51,61.855606
PL52,56.064884
PL61,49.63963
PL62,51.711586
PL63,52.33172
PL71,53.327198
PL72,53.351715
PL81,52.303562
PL82,61.42459
PL84,48.919853
PL91,51.93091
PL92,51.402493
PT11,91.36383
PT15,47.553356
TRB1,105.56063
TRB2,7.4807534
TRC1,86.33223
RS12,58.01633
RS21,80.51446
RS22,71.66382
SE11,37.562946
SE12,40.146175
NL33,69.12709
NL34,66.98576
NL41,69.7853
NL42,69.17961
PL21,64.68539
UKM6,124.034935
TR22,79.760864
TRC2,76.49484
TRC3,16.723133
UKC1,69.98007
UKC2,69.55011
UKD1,96.521706
UKD3,85.19777
UKD4,97.37994
UKD6,76.009995
UKD7,82.73696
UKE1,61.526554
UKE2,73.27485
UKE3,68.69259
RO41,66.58799
RO42,71.5327
RS11,68.586945
TR41,70.332016
TR42,89.01473
TR51,59.127045
TR52,53.53881
TR61,80.53432
TR62,91.605064
TR63,98.394325
TR71,60.734585
TR72,74.42332
TR81,98.004395
UKK1,64.52632
UKK2,67.72712
UKK3,80.12009
UKK4,75.05522
UKL1,94.93271
UKL2,84.02078
UKM5,79.08609
UKM7,99.156654
UKM8,119.62757
UKM9,97.67437
UKN0,86.63621
SE21,43.69109
SE22,49.8908
SE23,53.898804
SE31,45.52934
SE32,52.530186
SE33,50.624954
SI03,82.620895
SI04,103.9104
SK01,48.65208
SK02,53.243645
SK03,63.47479
SK04,56.995388
TR10,71.69746
TR21,66.56201
UKE4,75.95459
UKF1,67.66009
UKF2,59.86369
UKF3,59.781467
UKG1,64.23331
UKG2,69.40216
UKG3,63.97157
UKH1,57.909534
UKH2,55.092045
UKH3,52.87792
UKI3,53.410187
UKI4,53.410187
UKI5,52.867714
UKI6,54.2491
UKI7,53.68773
UKJ1,59.777527
UKJ2,58.180473
UKJ3,61.263382
UKJ4,55.439518
NO09,105.19319
NO0A,163.22395
NO0B,56.60622
HR05,69.69995
HR06,69.5631
NO02,60.764614
NO06,110.00488
NO07,86.4893
NO08,69.05171
