nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
TRC3,12.662618
UKC1,67.430145
UKC2,64.81992
UKD1,83.72003
UKD3,80.22663
UKD4,84.02427
UKD6,72.286224
UKD7,74.866585
UKE1,62.541615
UKE2,72.316864
UKE3,70.12578
RO41,75.265236
RO42,89.507545
RS11,64.085106
TR41,58.395367
TR42,78.271416
TR51,53.379448
TR52,41.969604
TR61,54.02103
TR62,64.25358
TR63,67.55887
TR71,57.030304
TR72,84.2095
TR81,89.82967
UKK1,68.45037
UKK2,69.357956
UKK3,71.17759
UKK4,70.8845
UKL1,82.46283
UKL2,81.2091
UKM5,69.6054
UKM7,79.79141
UKM8,92.445274
UKM9,81.08884
UKN0,77.06302
SE21,49.278137
SE22,48.751366
SE23,58.346424
SE31,53.592453
SE32,54.8074
SE33,50.478615
SI03,99.39486
SI04,125.76061
SK01,56.756943
SK02,63.930046
SK03,81.70175
SK04,77.96126
TR10,45.543636
TR21,46.913757
UKE4,76.656105
UKF1,68.486786
UKF2,63.671738
UKF3,61.665066
UKG1,65.88599
UKG2,68.867775
UKG3,65.86844
UKH1,57.977272
UKH2,60.657413
UKH3,57.48922
UKI3,60.987934
UKI4,60.987934
UKI5,60.724384
UKI6,63.438766
UKI7,61.266457
UKJ1,63.783684
UKJ2,63.73517
UKJ3,64.80577
UKJ4,62.06434
NO09,84.04015
NO0A,113.54801
NO0B,49.701637
HR05,76.435616
HR06,74.38499
NO02,61.521164
NO06,94.5685
NO07,82.47175
NO08,67.4174
