nuts,May Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
PT16,17.472925
PT17,18.28451
FRF2,15.011225
FRF3,14.899591
FRG0,15.164759
FRH0,14.057978
FRI1,16.653528
FRI2,14.818354
ITC4,15.928583
ITF1,16.722467
ITF2,17.608759
ITF3,18.16244
ITF4,20.018732
ITF5,18.639093
ITF6,18.96264
ITG1,19.76446
LT01,14.694086
LT02,14.2338505
LU00,13.831629
PL22,15.095209
PL41,15.299768
PL42,14.297632
PT18,19.641962
PT20,-273.15
PT30,-273.15
RO11,16.146814
RO12,14.7729435
RO21,16.442194
RO22,18.307734
RO31,18.163202
RO32,19.347773
ITH3,16.520014
ITH4,15.774561
ITH5,18.461237
ITI1,17.69967
ITI2,17.112604
ITI3,17.986322
ITI4,17.552423
LI00,11.075953
FI1D,9.941675
TR82,16.019098
TR83,16.529352
TR90,14.027857
TRA1,13.07403
TRA2,11.260035
PL43,15.545465
PL51,14.845423
PL52,15.437891
PL61,14.825525
PL62,14.416895
PL63,13.685236
PL71,15.468683
PL72,15.567133
PL81,15.661676
PL82,15.399408
PL84,14.767145
PL91,15.534662
PL92,15.281519
PT11,16.0953
PT15,19.268824
TRB1,17.398127
TRB2,15.45492
TRC1,21.908655
RS12,19.380793
RS21,16.968866
RS22,17.258204
SE11,11.301508
SE12,12.449915
NL33,14.214869
NL34,14.550653
NL41,15.042994
NL42,15.11294
PL21,14.712397
UKM6,10.083094
TR22,19.059473
TRC2,23.088404
TRC3,23.230677
UKC1,11.2711735
UKC2,11.122614
UKD1,11.3388
UKD3,12.190729
UKD4,11.969843
UKD6,12.64776
UKD7,12.725428
UKE1,12.3692875
UKE2,11.566217
UKE3,12.424067
RO41,17.955805
RO42,17.123346
RS11,19.449244
TR41,18.25268
TR42,17.044794
TR51,18.322931
TR52,18.352015
TR61,18.81698
TR62,19.655634
TR63,20.131037
TR71,18.373713
TR72,15.88595
TR81,16.10995
UKK1,13.155146
UKK2,13.008478
UKK3,12.819971
UKK4,12.63064
UKL1,12.147547
UKL2,12.1115055
UKM5,10.180994
UKM7,10.475672
UKM8,11.411036
UKM9,11.180689
UKN0,11.601465
SE21,12.214655
SE22,12.468653
SE23,12.611261
SE31,11.752436
SE32,9.961634
SE33,8.496912
SI03,16.37594
SI04,15.791101
SK01,17.173334
SK02,16.573633
SK03,14.5599
SK04,15.256067
TR10,18.379786
TR21,18.957544
UKE4,11.8961735
UKF1,12.526606
UKF2,13.010126
UKF3,12.971827
UKG1,12.82934
UKG2,12.399317
UKG3,12.93368
UKH1,13.004358
UKH2,13.37652
UKH3,13.368128
UKI3,13.629084
UKI4,13.629084
UKI5,13.558008
UKI6,13.550898
UKI7,13.504847
UKJ1,13.211939
UKJ2,13.237299
UKJ3,13.292414
UKJ4,13.374079
NO09,10.10113
NO0A,8.214624
NO0B,2.313745
HR05,18.164362
HR06,18.001825
NO02,8.688318
NO06,9.296656
NO07,7.0200744
NO08,10.211084
