nuts,June Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
TR63,22.390558
TR71,20.923151
TR72,18.005579
TR81,18.821741
UKK1,15.090326
UKK2,14.971277
UKK3,14.700495
UKK4,14.547052
UKL1,13.961237
UKL2,13.985132
UKM5,12.015894
UKM7,12.422571
UKM8,13.148859
UKM9,12.926172
UKN0,13.318323
SE21,14.890955
SE22,15.072565
SE23,15.0559635
SE31,14.122431
SE32,12.411646
SE33,11.685022
SI03,18.691736
SI04,18.15481
SK01,19.645899
SK02,18.93606
SK03,16.594141
SK04,17.363428
TR10,22.166315
TR21,22.544855
UKE4,13.8571415
UKF1,14.508265
UKF2,15.0003605
UKF3,14.980249
UKG1,14.761164
UKG2,14.295893
UKG3,14.859034
UKH1,15.012598
UKH2,15.299372
UKH3,15.428766
UKI3,15.565821
UKI4,15.565821
UKI5,15.507471
UKI6,15.532801
UKI7,15.424219
UKJ1,15.138361
UKJ2,15.258692
UKJ3,15.328882
UKJ4,15.430017
NO09,12.892633
NO0A,10.792292
NO0B,2.8741393
HR05,20.650782
HR06,20.385431
NO02,11.409632
NO06,11.099848
NO07,9.399317
NO08,13.106043
