nuts,April Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
RO31,12.05813
RO32,13.035822
ITH3,10.599329
ITH4,9.899591
ITH5,12.6027775
ITI1,12.521204
ITI2,11.309748
ITI3,12.256708
ITI4,11.960871
LI00,5.3796935
FI1D,1.8767334
TR82,10.786341
TR83,11.412439
TR90,8.135462
TRA1,5.7970214
TRA2,4.60177
PL43,10.03451
PL51,9.474054
PL52,9.934839
PL61,9.295893
PL62,8.668573
PL63,8.232264
PL71,9.764948
PL72,9.917353
PL81,9.82757
PL82,9.864283
PL84,8.928125
PL91,9.6843815
PL92,9.483118
PT11,11.687555
PT15,15.5628605
TRB1,9.782831
TRB2,7.327966
TRC1,14.36413
RS12,13.409388
RS21,11.273767
RS22,11.667444
SE11,5.3203063
SE12,5.971948
NL33,9.551111
NL34,9.874598
NL41,10.020105
NL42,10.004511
PL21,9.394251
UKM6,7.309015
TR22,13.24563
TRC2,15.161005
TRC3,15.25387
UKC1,7.740289
UKC2,7.683038
UKD1,7.5640807
UKD3,8.3024235
UKD4,8.165674
UKD6,8.723383
UKD7,8.944757
UKE1,8.649317
UKE2,7.893945
UKE3,8.521509
RO41,12.133142
RO42,11.490229
RS11,13.534937
TR41,12.133265
TR42,11.41543
TR51,11.824976
TR52,11.646112
TR61,12.372034
TR62,13.307001
TR63,13.473047
TR71,11.811609
TR72,9.6618595
TR81,10.902124
UKK1,9.130396
UKK2,9.168695
UKK3,9.702875
UKK4,9.088556
UKL1,8.631556
UKL2,8.236872
UKM5,6.994928
UKM7,7.0227294
UKM8,7.8226867
UKM9,7.668451
UKN0,8.34466
SE21,6.298059
SE22,6.980005
SE23,6.5061584
SE31,4.459863
SE32,2.5036254
SE33,0.71306765
SI03,10.798212
SI04,10.009638
SK01,11.631769
SK02,11.152704
SK03,9.192591
SK04,9.782343
TR10,12.667322
TR21,12.897303
UKE4,8.059229
UKF1,8.569727
UKF2,9.014124
UKF3,9.037653
UKG1,8.828211
UKG2,8.4172
UKG3,8.910608
UKH1,9.04339
UKH2,9.303003
UKH3,9.355799
UKI3,9.526026
UKI4,9.526026
UKI5,9.473383
UKI6,9.4621525
UKI7,9.400202
UKJ1,9.144342
UKJ2,9.373346
UKJ3,9.354883
UKJ4,9.449427
NO09,3.8193297
NO0A,3.1401
NO0B,-1.0756286
HR05,12.577295
HR06,12.446466
NO02,1.75448
NO06,2.8113036
NO07,0.7636353
NO08,3.4671264
