nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
TR63,15.617731
TR71,13.303492
TR72,10.8007145
TR81,12.7060795
UKK1,11.303431
UKK2,11.671076
UKK3,12.253626
UKK4,11.613764
UKL1,10.914972
UKL2,10.3250675
UKM5,9.126734
UKM7,8.930048
UKM8,9.627222
UKM9,9.730036
UKN0,10.362238
SE21,8.583246
SE22,9.254786
SE23,8.5307255
SE31,6.213159
SE32,4.228021
SE33,2.58468
SI03,11.331934
SI04,11.226648
SK01,11.940882
SK02,11.30102
SK03,9.157038
SK04,9.725977
TR10,15.924219
TR21,15.436792
UKE4,10.072992
UKF1,10.605616
UKF2,11.0698185
UKF3,11.167322
UKG1,10.892511
UKG2,10.476526
UKG3,10.936243
UKH1,11.425592
UKH2,11.404627
UKH3,11.69488
UKI3,11.657526
UKI4,11.657526
UKI5,11.608149
UKI6,11.615931
UKI7,11.533197
UKJ1,11.243036
UKJ2,11.87533
UKJ3,11.786432
UKJ4,11.901758
NO09,6.124597
NO0A,5.569696
NO0B,2.4229064
HR05,13.006464
HR06,12.773005
NO02,3.117395
NO06,4.833551
NO07,3.095941
NO08,5.1712584
