nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
FRF2,4.0794005
FRF3,3.173761
FRG0,6.8061767
FRH0,8.024622
FRI1,7.5028014
FRI2,5.2317443
ITC4,1.8740479
ITF1,5.6680846
ITF2,7.001428
ITF3,8.959009
ITF4,10.822199
ITF5,8.204187
ITF6,10.928705
ITG1,12.578455
LT01,-1.1870483
LT02,-0.4942688
LU00,2.3931518
PL22,0.22716674
PL41,1.1952149
PL42,1.6979614
PT18,10.965815
PT20,-273.15
PT30,-273.15
RO11,-0.509375
RO12,-1.0987915
RO21,-0.91730344
RO22,1.9425598
RO31,1.1928345
RO32,1.5328003
ITH3,3.0244994
ITH4,2.3306212
ITH5,5.330957
ITI1,7.7394347
ITI2,5.494287
ITI3,6.7964416
ITI4,7.3521667
LI00,-1.93833
FI1D,-7.7886415
TR82,2.807611
TR83,3.0150695
TR90,0.22487792
TRA1,-4.624945
TRA2,-5.146582
PL43,1.8261353
PL51,0.81981814
PL52,0.8940979
PL61,0.7152039
PL62,-0.032354735
PL63,0.9750916
PL71,0.63372195
PL72,0.3489929
PL81,0.110162355
PL82,-0.22650757
PL84,-0.40146485
PL91,0.47698364
PL92,0.29049072
PT11,7.7441955
PT15,13.015223
TRB1,-0.5622009
TRB2,-3.0758424
TRC1,4.9922423
RS12,2.807611
RS21,1.6759888
RS22,1.6213013
SE11,0.7712952
SE12,-0.28543702
NL33,5.224115
NL34,5.32052
NL41,4.5766845
NL42,4.2596374
PL21,-0.37140504
UKM6,5.8567443
TR22,7.745752
TRC2,5.2090697
TRC3,5.5183654
UKC1,5.217584
UKC2,5.2588744
UKD1,4.9862
UKD3,5.27865
UKD4,5.448999
UKD6,5.7510314
UKD7,6.377008
UKE1,5.8984313
UKE2,5.1620116
UKE3,5.393945
RO41,1.3304383
RO42,1.2489868
RS11,3.1560912
TR41,4.4829345
TR42,4.62536
TR51,3.120111
TR52,3.0459533
TR61,5.943811
TR62,6.031671
TR63,4.906793
TR71,2.5820556
TR72,-0.36554566
TR81,4.1459594
UKK1,6.0855346
UKK2,6.922815
UKK3,8.597712
UKK4,7.356836
UKL1,6.6815124
UKL2,5.5065856
UKM5,4.894922
UKM7,4.2486205
UKM8,5.1357665
UKM9,5.442102
UKN0,6.4873595
SE21,1.2022644
SE22,2.0295653
SE23,0.71309817
SE31,-2.888617
SE32,-5.2311463
SE33,-7.8124757
SI03,1.4827515
SI04,2.0897765
SK01,1.6018311
SK02,0.85765994
SK03,-0.93170774
SK04,-0.67947996
TR10,8.161676
TR21,6.7663207
UKE4,5.0626464
UKF1,5.363855
UKF2,5.6097655
UKF3,5.8426147
UKG1,5.6563354
UKG2,5.4568114
UKG3,5.676843
UKH1,6.1614013
UKH2,5.772821
UKH3,6.1934752
UKI3,6.0272765
UKI4,6.0272765
UKI5,5.9588866
UKI6,6.013208
UKI7,5.930536
UKJ1,5.7617736
UKJ2,6.791864
UKJ3,6.665399
UKJ4,6.5873046
NO09,-1.624823
NO0A,-0.74997556
NO0B,0.06905518
HR05,2.776239
HR06,2.619287
NO02,-6.3670106
NO06,-2.9250245
NO07,-5.0767274
NO08,-3.886725
