nuts,Autumn Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DEE0,10.409113
DEF0,10.893457
DEG0,9.469477
DK01,11.0021
DK02,11.196894
DK03,10.817163
DK04,10.658228
ES41,13.101801
ES42,15.501032
HU23,12.139246
HU31,11.283869
HU32,12.16778
HU33,12.386713
IE04,11.120295
EE00,7.9002624
EL30,20.122889
EL41,19.594812
EL43,20.685907
EL51,15.394922
EL52,16.078363
FI20,9.379511
FR10,12.122675
FRB0,12.578272
FRC1,11.986597
FRC2,11.064692
FRD1,12.647638
FRD2,12.203577
FRE1,12.050013
FRE2,11.807581
FRF1,10.736475
NL13,11.127832
NL21,11.261652
NL22,11.455469
NL23,11.786951
NL31,11.681482
NL32,12.648066
ITG2,18.319727
ITH1,4.1992126
ITH2,7.6322875
FRI3,13.697657
FRJ1,13.385431
FRJ2,12.662043
FRK1,10.998468
FRK2,10.180201
FRL0,12.475153
FRM0,17.219172
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,18.318933
TR32,17.912195
TR33,14.567316
HR03,15.12182
HR02,12.4844
HU11,11.815729
HU12,11.7616825
HU21,11.723169
HU22,11.817286
PT16,16.40249
PT17,18.320612
FRF2,11.381952
FRF3,10.711023
FRG0,13.228235
FRH0,13.459955
FRI1,14.429377
FRI2,12.075647
ITC4,11.5681095
ITF1,14.03573
ITF2,15.084742
ITF3,16.609827
ITF4,18.451777
ITF5,16.297663
ITF6,18.253351
ITG1,19.939753
LT01,7.9297423
LT02,8.389551
LU00,9.776484
PL22,9.7503605
PL41,9.963861
PL42,10.091578
PT18,18.294428
PT20,-273.15
PT30,-273.15
RO11,9.854914
RO12,8.675318
RO21,9.571466
RO22,12.6401615
RO31,12.041254
RO32,12.883692
ITH3,12.485193
ITH4,11.467951
ITH5,14.57345
ITI1,15.662104
ITI2,14.098322
ITI3,15.222742
ITI4,15.484583
LI00,7.125177
FI1D,3.5017943
TR82,12.912958
TR83,13.306238
TR90,11.012354
TRA1,8.54339
TRA2,7.2977843
PL43,10.291254
PL51,9.594812
PL52,10.109186
PL61,9.59408
PL62,9.088007
PL63,9.741632
PL71,9.812677
PL72,9.803949
PL81,9.508722
PL82,9.504145
PL84,8.729334
PL91,9.491266
PL92,9.346399
PT11,14.63891
PT15,19.055475
TRB1,12.914362
TRB2,10.820948
TRC1,17.653986
RS12,13.049677
RS21,11.524591
RS22,11.75152
SE11,8.706476
SE12,7.862909
NL33,12.232447
NL34,12.333155
NL41,11.767023
NL42,11.5385685
PL21,9.147669
UKM6,10.303339
TR22,16.581598
TRC2,18.568018
TRC3,18.764643
UKC1,10.431482
UKC2,10.357416
UKD1,10.20907
UKD3,10.639612
UKD4,10.816797
UKD6,11.111475
UKD7,11.723566
UKE1,11.493219
UKE2,10.515497
UKE3,10.964502
RO41,11.856989
RO42,11.195002
RS11,13.330133
TR41,14.490381
TR42,14.256678
TR51,13.637964
TR52,13.990107
TR61,15.797815
TR62,16.935907
TR63,16.77102
TR71,13.702021
TR72,11.481165
TR81,13.707483
UKK1,11.628687
UKK2,12.355158
UKK3,13.16485
UKK4,12.431818
UKL1,11.737238
UKL2,10.782831
UKM5,9.75503
UKM7,9.32284
UKM8,10.020929
UKM9,10.341639
UKN0,10.945215
SE21,8.850306
SE22,9.731867
SE23,8.790827
SE31,6.1845336
SE32,4.192987
SE33,2.5450377
SI03,11.04104
SI04,11.175257
SK01,11.475306
SK02,10.855219
SK03,8.696253
SK04,9.124842
TR10,17.20556
TR21,16.182703
UKE4,10.473993
UKF1,10.964289
UKF2,11.36117
UKF3,11.649286
UKG1,11.199335
UKG2,10.842615
UKG3,11.229517
UKH1,12.109125
UKH2,11.636347
UKH3,12.2165165
UKI3,11.898096
UKI4,11.898096
UKI5,11.859919
UKI6,11.882685
UKI7,11.762232
UKJ1,11.478357
UKJ2,12.581995
UKJ3,12.348871
UKJ4,12.594294
NO09,6.367456
NO0A,5.791803
NO0B,2.9051452
HR05,12.494867
HR06,12.263788
NO02,3.0067382
NO06,4.9776855
NO07,3.2145934
NO08,5.1357055
