nuts,Spring Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
UKM5,7.252771
UKM7,7.2641845
UKM8,8.078058
UKM9,7.963556
UKN0,8.684839
SE21,6.5054564
SE22,7.1427855
SE23,6.73031
SE31,4.797937
SE32,2.86828
SE33,0.943689
SI03,10.7425785
SI04,10.2279
SK01,11.449549
SK02,10.86941
SK03,8.864527
SK04,9.555475
TR10,13.165918
TR21,13.360468
UKE4,8.385584
UKF1,8.919428
UKF2,9.328608
UKF3,9.354731
UKG1,9.2055
UKG2,8.825464
UKG3,9.274378
UKH1,9.3284855
UKH2,9.582056
UKH3,9.641504
UKI3,9.78335
UKI4,9.78335
UKI5,9.737146
UKI6,9.747553
UKI7,9.681055
UKJ1,9.468256
UKJ2,9.7217045
UKJ3,9.74441
UKJ4,9.766962
NO09,4.256799
NO0A,3.5684142
NO0B,-0.6578125
HR05,12.437647
HR06,12.268
NO02,2.000482
NO06,3.178369
NO07,0.8674561
NO08,3.8089538
