nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
UKK1,5.40072
UKK2,6.332605
UKK3,8.07696
UKK4,6.7527404
UKL1,5.999353
UKL2,4.744531
UKM5,4.2049804
UKM7,3.5676818
UKM8,4.4599547
UKM9,4.7598815
UKN0,5.8077025
SE21,-0.29578248
SE22,0.6062561
SE23,-0.45996705
SE31,-4.3858705
SE32,-6.3608155
SE33,-9.129004
SI03,0.40395507
SI04,0.77871096
SK01,0.67138064
SK02,-0.11774292
SK03,-2.2760072
SK04,-2.1188722
TR10,6.8982787
TR21,5.2799926
UKE4,4.3480773
UKF1,4.616571
UKF2,4.8410583
UKF3,5.084131
UKG1,4.8856444
UKG2,4.6479735
UKG3,4.870996
UKH1,5.333215
UKH2,5.0642333
UKH3,5.485559
UKI3,5.3594604
UKI4,5.3594604
UKI5,5.291528
UKI6,5.3404784
UKI7,5.2581115
UKJ1,5.0429626
UKJ2,6.1069884
UKJ3,6.062555
UKJ4,5.8760314
NO09,-2.80094
NO0A,-1.9408325
NO0B,-1.7357544
HR05,1.6387268
HR06,1.5138489
NO02,-7.8066163
NO06,-4.169287
NO07,-6.486365
NO08,-5.241492
