nuts,Summer Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,27.732904
TR32,27.613184
TR33,25.060694
HR03,23.990564
HR02,23.194757
HU11,22.80398
HU12,22.717493
HU21,22.350977
HU22,22.351892
PT16,23.077784
PT17,22.125452
FRF2,19.952448
FRF3,19.725946
FRG0,20.339075
FRH0,18.432154
FRI1,22.039423
FRI2,20.369837
ITC4,21.85943
ITF1,23.131403
ITF2,24.084345
ITF3,24.703577
ITF4,26.75451
ITF5,25.42483
ITF6,25.507898
ITG1,26.358149
LT01,18.571466
LT02,18.52691
LU00,18.341913
PL22,19.327082
PL41,19.642939
PL42,18.73675
PT18,25.18844
PT20,-273.15
PT30,-273.15
RO11,20.734156
RO12,19.677332
RO21,21.1224
RO22,24.124811
RO31,24.058893
RO32,25.317102
ITH3,22.258844
ITH4,21.115168
ITH5,24.665216
ITI1,24.204523
ITI2,23.8034
ITI3,24.421045
ITI4,24.161646
LI00,16.363733
FI1D,15.8293705
TR82,21.987604
TR83,22.316553
TR90,19.75921
TRA1,19.80456
TRA2,17.871119
PL43,19.985804
PL51,19.237116
PL52,19.759546
PL61,19.201563
PL62,18.774836
PL63,18.558558
PL71,19.7149
PL72,19.777338
PL81,19.804224
PL82,19.49209
PL84,19.029139
PL91,19.630487
PL92,19.444208
PT11,22.10998
PT15,23.809351
TRB1,25.408686
TRB2,23.910852
TRC1,29.911768
RS12,24.223017
RS21,22.165552
RS22,22.961573
SE11,17.676752
SE12,17.772821
NL33,18.503717
NL34,18.811274
NL41,19.115656
NL42,19.227442
PL21,18.81463
UKM6,13.909143
TR22,25.558374
TRC2,32.24386
TRC3,32.470543
UKC1,15.871607
UKC2,15.626398
UKD1,15.56164
UKD3,16.441858
UKD4,16.2232
UKD6,16.902124
UKD7,16.9685
UKE1,16.99682
UKE2,16.111383
UKE3,17.014368
RO41,23.900873
RO42,22.025629
RS11,24.43783
TR41,24.307642
TR42,22.915033
TR51,24.522242
TR52,24.897486
TR61,25.638239
TR62,26.050074
TR63,26.557337
TR71,24.742151
TR72,21.909784
TR81,21.907312
UKK1,17.688196
UKK2,17.469019
UKK3,17.088007
UKK4,17.012903
UKL1,16.314173
UKL2,16.420557
UKM5,14.398462
UKM7,14.697657
UKM8,15.295923
UKM9,15.238916
UKN0,15.536097
SE21,17.5133
SE22,17.5422
SE23,17.27923
SE31,16.465784
SE32,14.802332
SE33,14.324671
SI03,21.178797
SI04,20.907984
SK01,21.936304
SK02,21.105127
SK03,18.830286
SK04,19.568201
TR10,25.20083
TR21,25.803705
UKE4,16.378016
UKF1,17.107477
UKF2,17.727167
UKF3,17.6542
UKG1,17.388514
UKG2,16.80636
UKG3,17.489252
UKH1,17.762201
UKH2,18.095392
UKH3,18.182734
UKI3,18.459436
UKI4,18.459436
UKI5,18.331629
UKI6,18.311274
UKI7,18.227777
UKJ1,17.865107
UKJ2,17.94192
UKJ3,17.89947
UKJ4,18.167017
NO09,15.11944
NO0A,13.295893
NO0B,6.57287
HR05,23.224695
HR06,22.857447
NO02,13.578211
NO06,13.841822
NO07,12.963251
NO08,15.230036
