nuts,February Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
ITH1,-4.737494
ITH2,-1.0811218
FRI3,7.190332
FRJ1,6.4059997
FRJ2,5.892877
FRK1,4.2190185
FRK2,2.6509337
FRL0,4.6845336
FRM0,9.937677
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.968195
TR32,9.330133
TR33,5.9602904
HR03,6.871759
HR02,3.881616
HU11,3.2439208
HU12,3.149835
HU21,3.0638976
HU22,3.2868896
PT16,10.271387
PT17,13.007166
FRF2,4.329004
FRF3,3.5813537
FRG0,6.8206725
FRH0,7.781305
FRI1,7.896234
FRI2,5.5058227
ITC4,3.0956664
ITF1,5.863977
ITF2,7.114404
ITF3,8.905359
ITF4,10.683954
ITF5,8.279749
ITF6,10.6531315
ITG1,12.280695
LT01,-1.2460998
LT02,-0.42041627
LU00,2.6985412
PL22,1.343805
PL41,1.8756043
PL42,2.075769
PT18,11.843348
PT20,-273.15
PT30,-273.15
RO11,1.0902039
RO12,-0.19943848
RO21,0.18569335
RO22,2.9580321
RO31,2.7775207
RO32,3.3065734
ITH3,4.1166015
ITH4,3.0505614
ITH5,6.067804
ITI1,7.810388
ITI2,5.9355407
ITI3,6.959741
ITI4,7.6491027
LI00,-1.34104
FI1D,-6.2760377
TR82,3.890924
TR83,4.1785827
TR90,0.98253787
TRA1,-3.2031007
TRA2,-3.6004395
PL43,2.3339477
PL51,1.6713196
PL52,1.8376709
PL61,1.5223938
PL62,0.6740967
PL63,1.454187
PL71,1.4838196
PL72,1.3385864
PL81,0.78161013
PL82,0.9074646
PL84,0.067193605
PL91,1.1932923
PL92,0.9933411
PT11,8.428766
PT15,13.219294
TRB1,0.3359314
TRB2,-1.6304992
TRC1,6.24801
RS12,4.2061706
RS21,3.1325622
RS22,3.1240478
SE11,0.4704834
SE12,-0.32907715
NL33,4.970575
NL34,5.204889
NL41,4.687341
NL42,4.4607787
PL21,0.7360474
UKM6,5.893945
TR22,8.201624
TRC2,6.773889
TRC3,7.288507
UKC1,5.143213
UKC2,5.271753
UKD1,4.916681
UKD3,5.175195
UKD4,5.3212523
UKD6,5.585901
UKD7,6.114801
UKE1,5.8058715
UKE2,5.0466857
UKE3,5.223657
RO41,2.876886
RO42,2.6527953
RS11,4.6104674
TR41,6.0911803
TR42,5.6065
TR51,4.940576
TR52,4.208917
TR61,6.7897277
TR62,6.8900695
TR63,6.1003356
TR71,3.867395
TR72,0.42077026
TR81,5.1240478
UKK1,5.825189
UKK2,6.626489
UKK3,8.30044
UKK4,7.0985045
UKL1,6.426721
UKL2,5.2737975
UKM5,5.0628295
UKM7,4.54577
UKM8,5.3585753
UKM9,5.47854
UKN0,6.434503
SE21,0.74709475
SE22,1.6487671
SE23,0.68230593
SE31,-2.3148866
SE32,-4.1772523
SE33,-6.4238343
SI03,2.5242248
SI04,2.683557
SK01,2.9132628
SK02,2.518701
SK03,0.3661438
SK04,0.804773
TR10,8.096094
TR21,7.197717
UKE4,4.9128356
UKF1,5.1821227
UKF2,5.445459
UKF3,5.725885
UKG1,5.426599
UKG2,5.210687
UKG3,5.445459
UKH1,5.7801757
UKH2,5.557672
UKH3,5.8299804
UKI3,5.709314
UKI4,5.709314
UKI5,5.662744
UKI6,5.697931
UKI7,5.6444335
UKJ1,5.5248656
UKJ2,6.367639
UKJ3,6.321832
UKJ4,6.2190795
NO09,-1.6042541
NO0A,-0.7089294
NO0B,0.28444824
HR05,3.996698
HR06,3.8063598
NO02,-5.1133485
NO06,-1.9941162
NO07,-4.213141
NO08,-3.1628175
