nuts,Spring Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
ES41,11.585505
ES42,14.245111
HU23,13.360193
HU31,12.845057
HU32,13.6965275
HU33,13.747004
IE04,9.73324
EE00,7.190912
EL30,17.528345
EL41,16.955042
EL43,17.489191
EL51,14.181818
EL52,15.209864
FI20,5.3003783
FR10,11.504267
FRB0,11.901728
FRC1,11.720911
FRC2,11.012445
FRD1,11.101374
FRD2,10.929102
FRE1,10.847559
FRE2,11.048365
FRF1,10.963068
NL13,10.3528385
NL21,10.63064
NL22,10.876947
NL23,10.57934
NL31,10.736139
NL32,10.207514
ITG2,15.354212
ITH1,3.5638366
ITH2,7.1758056
FRI3,12.764826
FRJ1,12.078394
FRJ2,11.500055
FRK1,10.388269
FRK2,9.51446
FRL0,11.105341
FRM0,14.403223
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,16.53509
TR32,16.153284
TR33,13.64596
HR03,13.654871
HR02,13.421808
HU11,13.205652
HU12,13.135126
HU21,12.918909
HU22,12.887354
PT16,14.697382
PT17,16.16543
FRF2,11.138147
FRF3,10.732386
FRG0,12.110407
FRH0,11.591455
FRI1,13.213434
FRI2,11.372095
ITC4,11.360346
ITF1,12.468653
ITF2,13.464319
ITF3,14.226221
ITF4,16.033747
ITF5,14.45965
ITF6,15.209681
ITG1,16.350702
LT01,9.208948
LT02,8.991724
LU00,9.74618
PL22,10.586084
PL41,10.73031
PL42,9.987055
PT18,16.627039
PT20,-273.15
PT30,-273.15
RO11,11.225
RO12,9.867426
RO21,10.858759
RO22,12.958765
RO31,13.074305
RO32,14.129236
ITH3,12.080011
ITH4,11.350489
ITH5,13.9396
ITI1,13.871851
ITI2,12.79043
ITI3,13.663874
ITI4,13.504236
LI00,7.10531
FI1D,4.2784057
TR82,11.829645
TR83,12.326593
TR90,9.26568
TRA1,7.258844
TRA2,5.863672
PL43,11.089014
PL51,10.4413395
PL52,10.911341
PL61,10.224726
PL62,9.637537
PL63,9.260492
PL71,10.771692
PL72,10.896448
PL81,10.682734
PL82,10.757013
PL84,9.856714
PL91,10.616114
PL92,10.414606
PT11,13.07522
PT15,16.906672
TRB1,11.598719
TRB2,9.120935
TRC1,16.387781
RS12,14.242365
RS21,12.313318
RS22,12.631128
SE11,6.8191466
SE12,7.5588317
NL33,10.723871
NL34,11.063501
NL41,11.130823
NL42,11.106012
PL21,10.187799
UKM6,8.227167
TR22,14.669275
TRC2,17.149073
TRC3,17.196589
UKC1,8.780481
UKC2,8.7242985
UKD1,8.69903
UKD3,9.35943
UKD4,9.256708
UKD6,9.808069
UKD7,10.033533
UKE1,9.65127
UKE2,8.921625
UKE3,9.5550785
RO41,13.073847
RO42,12.238489
RS11,14.424921
TR41,13.462915
TR42,12.613703
TR51,13.199121
TR52,13.215723
TR61,14.191034
TR62,15.208948
TR63,15.338007
TR71,13.245417
TR72,11.104456
TR81,11.955317
UKK1,10.312281
UKK2,10.4309025
UKK3,10.846888
UKK4,10.299616
UKL1,9.808405
UKL2,9.386225
UKM5,8.002192
UKM7,8.047998
UKM8,8.895716
UKM9,8.795496
UKN0,9.443384
SE21,7.696466
SE22,8.13241
SE23,7.8516173
SE31,6.3488097
SE32,4.4776855
SE33,2.9482665
SI03,11.812738
SI04,11.287134
SK01,12.403406
SK02,11.865076
SK03,9.8267765
SK04,10.529963
TR10,13.989801
TR21,14.307703
UKE4,9.099482
UKF1,9.603022
UKF2,9.996759
UKF3,10.006311
UKG1,9.910578
UKG2,9.528589
UKG3,9.959162
UKH1,10.041864
UKH2,10.29455
UKH3,10.372553
UKI3,10.614801
UKI4,10.614801
UKI5,10.507563
UKI6,10.534143
UKI7,10.472559
UKJ1,10.201746
UKJ2,10.556604
UKJ3,10.576075
UKJ4,10.554071
NO09,5.7358947
NO0A,4.854486
NO0B,0.93337405
HR05,13.448694
HR06,13.288202
NO02,3.5386596
NO06,4.7658324
NO07,2.6546264
NO08,5.3154235
