nuts,May Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
TRC2,21.95788
TRC3,22.140253
UKC1,10.962305
UKC2,10.866999
UKD1,11.048853
UKD3,11.852289
UKD4,11.667078
UKD6,12.313562
UKD7,12.443781
UKE1,11.929895
UKE2,11.190027
UKE3,12.064356
RO41,18.005732
RO42,17.081903
RS11,19.198328
TR41,17.201227
TR42,16.126154
TR51,16.970026
TR52,17.110346
TR61,17.538935
TR62,18.37942
TR63,18.819147
TR71,17.18838
TR72,14.721857
TR81,15.405207
UKK1,12.8623905
UKK2,12.7703495
UKK3,12.63238
UKK4,12.477076
UKL1,11.982294
UKL2,11.824305
UKM5,9.8918705
UKM7,10.315821
UKM8,11.198633
UKM9,10.946314
UKN0,11.405024
SE21,11.782953
SE22,12.110163
SE23,12.195246
SE31,11.135614
SE32,9.157587
SE33,7.92312
SI03,15.916254
SI04,15.407648
SK01,17.152063
SK02,16.549372
SK03,14.509272
SK04,15.297297
TR10,17.783838
TR21,18.442682
UKE4,11.520044
UKF1,12.172998
UKF2,12.705103
UKF3,12.537653
UKG1,12.503595
UKG2,12.059504
UKG3,12.593561
UKH1,12.619532
UKH2,13.059931
UKH3,13.042353
UKI3,13.342249
UKI4,13.342249
UKI5,13.25625
UKI6,13.268732
UKI7,13.191401
UKJ1,12.908106
UKJ2,12.971216
UKJ3,13.01861
UKJ4,13.090143
NO09,9.6531925
NO0A,8.1210575
NO0B,1.8874451
HR05,17.861628
HR06,17.688776
NO02,8.218927
NO06,8.644861
NO07,6.5719237
NO08,9.816462
