nuts,Autumn Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
RO32,13.42602
ITH3,13.072992
ITH4,11.997858
ITH5,15.128046
ITI1,16.182856
ITI2,14.540155
ITI3,15.696131
ITI4,16.002283
LI00,7.668939
FI1D,3.6020446
TR82,13.39065
TR83,13.801569
TR90,11.614588
TRA1,9.34289
TRA2,8.07873
PL43,10.759943
PL51,9.947626
PL52,10.444239
PL61,10.110804
PL62,9.578211
PL63,10.205683
PL71,10.254206
PL72,10.166681
PL81,9.952478
PL82,9.877283
PL84,9.261133
PL91,9.999689
PL92,9.861872
PT11,15.165552
PT15,19.4862
TRB1,13.472956
TRB2,11.597803
TRC1,18.21084
RS12,13.430323
RS21,11.969049
RS22,12.134638
SE11,8.862726
SE12,7.968683
NL33,12.527887
NL34,12.649469
NL41,12.090815
NL42,11.901972
PL21,9.408991
UKM6,10.437006
TR22,16.978113
TRC2,19.156519
TRC3,19.428888
UKC1,10.563501
UKC2,10.484491
UKD1,10.439569
UKD3,10.87771
UKD4,11.031244
UKD6,11.385889
UKD7,11.966211
UKE1,11.658686
UKE2,10.664209
UKE3,11.15243
RO41,12.262415
RO42,11.49679
RS11,13.7781315
TR41,14.8727665
TR42,14.642298
TR51,14.06814
TR52,14.451807
TR61,16.258387
TR62,17.473413
TR63,17.321222
TR71,14.176172
TR72,11.952692
TR81,14.087763
UKK1,11.981653
UKK2,12.712427
UKK3,13.536127
UKK4,12.791132
UKL1,12.06164
UKL2,11.099176
UKM5,9.87179
UKM7,9.519098
UKM8,10.272303
UKM9,10.550623
UKN0,11.267939
SE21,9.011744
SE22,9.918421
SE23,8.888697
SE31,6.07287
SE32,4.1883483
SE33,2.4713683
SI03,11.463007
SI04,11.630518
SK01,11.683039
SK02,11.025385
SK03,8.86886
SK04,9.390772
TR10,17.645014
TR21,16.658747
UKE4,10.639429
UKF1,11.202265
UKF2,11.6661625
UKF3,11.885065
UKG1,11.546259
UKG2,11.147516
UKG3,11.558313
UKH1,12.372736
UKH2,11.969141
UKH3,12.531031
UKI3,12.216974
UKI4,12.216974
UKI5,12.18133
UKI6,12.202723
UKI7,12.098505
UKJ1,11.8232975
UKJ2,12.912226
UKJ3,12.68432
UKJ4,12.904047
NO09,6.481561
NO0A,5.9613585
NO0B,3.565576
HR05,12.96847
HR06,12.723902
NO02,3.0468688
NO06,5.145105
NO07,3.5502563
NO08,5.1801696
