nuts,May Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
PT30,-273.15
RO11,15.078302
RO12,13.660913
RO21,15.279291
RO22,17.151026
RO31,17.155237
RO32,18.303766
ITH3,15.490992
ITH4,14.736536
ITH5,17.361963
ITI1,16.747278
ITI2,15.922174
ITI3,16.858393
ITI4,16.335535
LI00,10.084894
FI1D,8.572809
TR82,14.633265
TR83,15.095972
TR90,12.535944
TRA1,10.952387
TRA2,9.645288
PL43,14.867456
PL51,14.118006
PL52,14.695246
PL61,14.139093
PL62,13.751673
PL63,12.951746
PL71,14.714502
PL72,14.762049
PL81,14.891321
PL82,14.55163
PL84,14.171839
PL91,14.8034
PL92,14.565699
PT11,14.610132
PT15,17.856806
TRB1,15.0073185
TRB2,12.910486
TRC1,19.876215
RS12,18.203058
RS21,15.798792
RS22,16.214014
SE11,10.269953
SE12,11.442438
NL33,13.432703
NL34,13.726007
NL41,14.155268
NL42,14.223536
PL21,13.878504
UKM6,9.591883
TR22,18.02572
TRC2,21.017694
TRC3,21.148829
UKC1,10.566156
UKC2,10.423883
UKD1,10.651117
UKD3,11.434778
UKD4,11.250666
UKD6,11.89419
UKD7,12.031488
UKE1,11.522425
UKE2,10.837183
UKE3,11.640833
RO41,17.036524
RO42,16.008417
RS11,18.265833
TR41,16.887445
TR42,15.701166
TR51,16.615473
TR52,16.418573
TR61,17.106256
TR62,17.818079
TR63,18.207361
TR71,16.429285
TR72,13.742426
TR81,14.953241
UKK1,12.337915
UKK2,12.2573185
UKK3,12.170923
UKK4,11.963587
UKL1,11.5620365
UKL2,11.3580265
UKM5,9.470514
UKM7,9.865534
UKM8,10.767084
UKM9,10.52392
UKN0,11.014948
SE21,11.296198
SE22,11.699762
SE23,11.723261
SE31,10.56518
SE32,8.576136
SE33,6.915918
SI03,15.326563
SI04,14.712641
SK01,16.264124
SK02,15.688471
SK03,13.629114
SK04,14.370996
TR10,17.301966
TR21,17.873926
UKE4,11.136438
UKF1,11.697718
UKF2,12.136164
UKF3,12.108179
UKG1,11.973291
UKG2,11.576105
UKG3,12.056116
UKH1,12.152185
UKH2,12.453821
UKH3,12.495813
UKI3,12.736139
UKI4,12.736139
UKI5,12.657862
UKI6,12.688776
UKI7,12.59823
UKJ1,12.309046
UKJ2,12.489222
UKJ3,12.486963
UKJ4,12.634851
NO09,9.057032
NO0A,7.3087707
NO0B,0.6062561
HR05,17.136225
HR06,16.977076
NO02,7.557611
NO06,7.833856
NO07,5.545648
NO08,9.064386
