nuts,March Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
ITH5,10.090815
ITI1,10.740229
ITI2,9.0811405
ITI3,9.940607
ITI4,10.254938
LI00,2.9666686
FI1D,-2.027594
TR82,7.3532043
TR83,8.042261
TR90,4.4747252
TRA1,1.6950623
TRA2,0.7383362
PL43,5.8653502
PL51,5.089288
PL52,5.4854674
PL61,4.707483
PL62,3.856195
PL63,4.3752685
PL71,5.027124
PL72,5.1390624
PL81,4.649286
PL82,4.891107
PL84,3.589563
PL91,4.7490172
PL92,4.5047545
PT11,10.921595
PT15,14.916986
TRB1,5.503259
TRB2,3.2240844
TRC1,10.753321
RS12,8.768152
RS21,7.3801208
RS22,7.656366
SE11,3.1534057
SE12,3.0606933
NL33,7.813623
NL34,8.150995
NL41,7.9240966
NL42,7.7915893
PL21,4.6601806
UKM6,6.6735473
TR22,10.391657
TRC2,11.584497
TRC3,11.82522
UKC1,6.737085
UKC2,6.727014
UKD1,6.3424315
UKD3,7.035974
UKD4,6.9215636
UKD6,7.4772277
UKD7,7.710748
UKE1,7.573053
UKE2,6.794519
UKE3,7.3371215
RO41,7.483148
RO42,6.8789306
RS11,9.069361
TR41,8.887537
TR42,8.442286
TR51,8.194269
TR52,8.007685
TR61,9.681269
TR62,10.433802
TR63,10.171686
TR71,7.9765563
TR72,5.5658507
TR81,7.8525023
UKK1,7.839166
UKK2,8.19726
UKK3,9.055323
UKK4,8.28335
UKL1,7.71734
UKL2,7.0232177
UKM5,6.2742248
UKM7,5.9235168
UKM8,6.7013793
UKM9,6.6341186
UKN0,7.5089965
SE21,3.380548
SE22,3.966455
SE23,3.351709
SE31,1.2265564
SE32,-0.99545896
SE33,-3.0625367
SI03,7.0551085
SI04,6.7341247
SK01,7.2766967
SK02,6.5607543
SK03,4.442468
SK04,5.133844
TR10,9.907099
TR21,9.752893
UKE4,6.8722167
UKF1,7.3357177
UKF2,7.6648803
UKF3,7.78927
UKG1,7.537866
UKG2,7.201593
UKG3,7.608667
UKH1,7.7766356
UKH2,7.8421264
UKH3,7.9688354
UKI3,8.000147
UKI4,8.000147
UKI5,7.967523
UKI6,7.9627013
UKI7,7.9194884
UKJ1,7.7223144
UKJ2,8.158136
UKJ3,8.150354
UKJ4,8.095118
NO09,1.086145
NO0A,1.132959
NO0B,-0.45679322
HR05,8.709742
HR06,8.441889
NO02,-1.8652405
NO06,0.22246704
NO07,-1.7399963
NO08,0.28258666
