nuts,Annual Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
FRC1,11.721979
FRC2,10.897303
FRD1,11.67602
FRD2,11.389399
FRE1,11.210566
FRE2,11.258509
FRF1,10.72613
NL13,10.442469
NL21,10.679255
NL22,10.913538
NL23,10.860285
NL31,10.926996
NL32,11.077051
ITG2,16.81344
ITH1,3.1526732
ITH2,6.633203
FRI3,13.075129
FRJ1,12.754694
FRJ2,12.013269
FRK1,10.651514
FRK2,9.761866
FRL0,11.748621
FRM0,15.827387
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,17.193323
TR32,16.672388
TR33,13.672174
HR03,14.1931095
HR02,12.34823
HU11,11.863672
HU12,11.771021
HU21,11.67486
HU22,11.76449
PT16,15.276789
PT17,16.771479
FRF2,11.104853
FRF3,10.593927
FRG0,12.517664
FRH0,12.338617
FRI1,13.657465
FRI2,11.618952
ITC4,10.940668
ITF1,13.021357
ITF2,14.1001835
ITF3,15.289026
ITF4,17.212275
ITF5,15.186792
ITF6,16.666101
ITG1,18.061335
LT01,7.8331237
LT02,8.1036625
LU00,9.589106
PL22,9.495813
PL41,9.865686
PL42,9.578913
PT18,17.067255
PT20,-273.15
PT30,-273.15
RO11,9.665949
RO12,8.435358
RO21,9.496271
RO22,12.266748
RO31,11.829554
RO32,12.693476
ITH3,11.726038
ITH4,10.838221
ITH5,13.958399
ITI1,14.634607
ITI2,13.259699
ITI3,14.276056
ITI4,14.332483
LI00,6.43844
FI1D,3.1187072
TR82,11.692377
TR83,12.095636
TR90,9.268549
TRA1,6.7858825
TRA2,5.5793395
PL43,10.244867
PL51,9.495386
PL52,9.958765
PL61,9.352442
PL62,8.766993
PL63,9.018488
PL71,9.724634
PL72,9.69018
PL81,9.48794
PL82,9.355799
PL84,8.6774845
PL91,9.503138
PL92,9.309534
PT11,13.672083
PT15,17.593744
TRB1,11.194208
TRB2,9.074701
TRC1,16.256891
RS12,12.93014
RS21,11.152765
RS22,11.459589
SE11,7.623773
SE12,7.357965
NL33,11.151331
NL34,11.385309
NL41,11.209009
NL42,11.105341
PL21,8.937677
UKM6,9.162928
TR22,15.447077
TRC2,17.365442
TRC3,17.607874
UKC1,9.486658
UKC2,9.413965
UKD1,9.257868
UKD3,9.813715
UKD4,9.831873
UKD6,10.283472
UKD7,10.669031
UKE1,10.438776
UKE2,9.589045
UKE3,10.148066
RO41,11.6991825
RO42,10.937464
RS11,13.158472
TR41,13.567835
TR42,12.975855
TR51,12.824915
TR52,12.869715
TR61,14.484278
TR62,15.139185
TR63,15.03689
TR71,12.740168
TR72,9.966425
TR81,12.330042
UKK1,10.833704
UKK2,11.225
UKK3,11.88476
UKK4,11.208307
UKL1,10.547449
UKL2,9.916407
UKM5,8.750788
UKM7,8.534754
UKM8,9.2807255
UKM9,9.368219
UKN0,10.021601
SE21,7.9968505
SE22,8.681513
SE23,8.008631
SE31,5.7540526
SE32,3.8997436
SE33,2.225061
SI03,10.779322
SI04,10.661432
SK01,11.360712
SK02,10.689936
SK03,8.522913
SK04,9.102015
TR10,15.521631
TR21,15.06579
UKE4,9.656885
UKF1,10.168665
UKF2,10.594629
UKF3,10.718592
UKG1,10.441706
UKG2,10.049128
UKG3,10.483637
UKH1,10.942255
UKH2,10.877588
UKH3,11.183435
UKI3,11.121973
UKI4,11.121973
UKI5,11.074671
UKI6,11.077295
UKI7,10.994135
UKJ1,10.735224
UKJ2,11.361597
UKJ3,11.284449
UKJ4,11.399195
NO09,5.627069
NO0A,5.0824523
NO0B,1.5033509
HR05,12.447718
HR06,12.192957
NO02,2.7994323
NO06,4.4232116
NO07,2.576715
NO08,4.760675
