nuts,February Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
FRF1,2.376184
NL13,3.1977477
NL21,3.3313231
NL22,3.5775695
NL23,3.7915587
NL31,3.8176208
NL32,4.375421
ITG2,9.949152
ITH1,-5.976935
ITH2,-2.4065614
FRI3,6.385431
FRJ1,5.490442
FRJ2,4.925134
FRK1,3.290216
FRK2,1.453302
FRL0,3.5969481
FRM0,9.061914
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.031122
TR32,8.24151
TR33,4.733545
HR03,5.9141173
HR02,2.9329772
HU11,2.3213744
HU12,2.234857
HU21,2.3013244
HU22,2.5787292
PT16,9.571192
PT17,12.309473
FRF2,3.4603515
FRF3,2.5851378
FRG0,6.0563293
FRH0,7.012384
FRI1,7.0711913
FRI2,4.68844
ITC4,1.8550049
ITF1,4.7323546
ITF2,5.947595
ITF3,7.738855
ITF4,9.66189
ITF5,7.1262755
ITF6,9.559046
ITG1,11.203821
LT01,-2.898047
LT02,-2.2786622
LU00,1.7165467
PL22,0.27993163
PL41,0.8230225
PL42,1.052118
PT18,11.004633
PT20,-273.15
PT30,-273.15
RO11,-0.1093811
RO12,-1.3466858
RO21,-1.1141113
RO22,1.8386475
RO31,1.5752198
RO32,2.0665832
ITH3,2.9111266
ITH4,2.0839477
ITH5,5.1695495
ITI1,6.930841
ITI2,4.899347
ITI3,5.997186
ITI4,6.531732
LI00,-2.4342103
FI1D,-8.350561
TR82,2.4523864
TR83,2.8937316
TR90,-0.64423215
TRA1,-4.8288636
TRA2,-5.157843
PL43,1.3296448
PL51,0.62294924
PL52,0.8492371
PL61,0.30404052
PL62,-0.7742981
PL63,0.27892455
PL71,0.4718872
PL72,0.3225952
PL81,-0.13846436
PL82,-0.18515626
PL84,-1.2934936
PL91,0.14663085
PL92,-0.06748047
PT11,7.7167296
PT15,12.507929
TRB1,-1.3268493
TRB2,-3.1425538
TRC1,4.9352965
RS12,2.976007
RS21,2.0111022
RS22,2.076837
SE11,-1.0557007
SE12,-1.8781494
NL33,4.2737365
NL34,4.525781
NL41,3.9621825
NL42,3.6277404
PL21,-0.21573487
UKM6,5.1187987
TR22,7.1149535
TRC2,5.380426
TRC3,5.85119
UKC1,4.5241942
UKC2,4.5625243
UKD1,4.317102
UKD3,4.6383605
UKD4,4.7741942
UKD6,5.060846
UKD7,5.597223
UKE1,5.2437377
UKE2,4.515802
UKE3,4.747461
RO41,1.6479126
RO42,1.4457337
RS11,3.55343
TR41,4.899408
TR42,4.3470397
TR51,3.2452636
TR52,2.7969298
TR61,5.498712
TR62,5.5791564
TR63,4.712213
TR71,2.6278625
TR72,-1.0737671
TR81,3.6331725
UKK1,5.247125
UKK2,5.910791
UKK3,7.471124
UKK4,6.2791076
UKL1,5.740228
UKL2,4.6790404
UKM5,4.173242
UKM7,3.6187987
UKM8,4.5585265
UKM9,4.7111754
UKN0,5.791681
SE21,-0.42056885
SE22,0.62954104
SE23,-0.5463623
SE31,-3.821753
SE32,-5.715094
SE33,-8.384802
SI03,1.714502
SI04,1.7736145
SK01,2.1771483
SK02,1.4916321
SK03,-0.69959104
SK04,-0.3164734
TR10,6.989984
TR21,6.161615
UKE4,4.438989
UKF1,4.688043
UKF2,4.86828
UKF3,5.132074
UKG1,4.901117
UKG2,4.701074
UKG3,4.921991
UKH1,5.143518
UKH2,4.9735656
UKH3,5.212152
UKI3,5.1335998
UKI4,5.1335998
UKI5,5.0959716
UKI6,5.093408
UKI7,5.0780883
UKJ1,4.9460692
UKJ2,5.6560607
UKJ3,5.6670775
UKJ4,5.4685607
NO09,-2.6440187
NO0A,-1.7116455
NO0B,-2.0343385
HR05,3.1378722
HR06,2.9138732
NO02,-6.6973023
NO06,-3.4315553
NO07,-5.8450685
NO08,-4.4563355
