nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
FRE2,8.321985
FRF1,7.549249
NL13,7.2248473
NL21,7.445703
NL22,7.760919
NL23,7.576471
NL31,7.772821
NL32,7.4516234
ITG2,12.52923
ITH1,-0.14526978
ITH2,3.3747497
FRI3,9.835871
FRJ1,9.217463
FRJ2,8.635736
FRK1,7.41839
FRK2,6.3166747
FRL0,7.939447
FRM0,11.747705
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,12.32696
TR32,11.803064
TR33,8.825373
HR03,10.038996
HR02,8.775415
HU11,7.879022
HU12,7.8415465
HU21,7.8379455
HU22,8.101282
PT16,12.454096
PT17,14.452997
FRF2,8.133448
FRF3,7.5383544
FRG0,9.255152
FRH0,9.322565
FRI1,10.474909
FRI2,8.477625
ITC4,7.341577
ITF1,8.735224
ITF2,9.865137
ITF3,11.030512
ITF4,12.807795
ITF5,10.8258915
ITF6,12.349787
ITG1,13.640589
LT01,3.469293
LT02,3.6749206
LU00,6.5955443
PL22,5.669641
PL41,5.8411803
PL42,5.5162597
PT18,14.16128
PT20,-273.15
PT30,-273.15
RO11,6.2135863
RO12,4.8952575
RO21,5.051416
RO22,7.4378295
RO31,7.7078795
RO32,8.406366
ITH3,7.861078
ITH4,7.0776916
ITH5,10.071833
ITI1,10.64953
ITI2,9.145899
ITI3,10.041285
ITI4,10.113245
LI00,3.1545043
FI1D,-2.3734193
TR82,7.289911
TR83,7.8009887
TR90,4.4328246
TRA1,1.2906433
TRA2,0.57155764
PL43,6.353845
PL51,5.7907043
PL52,6.0506835
PL61,5.2896056
PL62,4.4979796
PL63,4.8280272
PL71,5.5704284
PL72,5.6217895
PL81,5.197168
PL82,5.573999
PL84,4.2953734
PL91,5.255487
PL92,5.082544
PT11,10.738398
PT15,14.899744
TRB1,5.685846
TRB2,2.7334838
TRC1,10.730677
RS12,8.969721
RS21,7.792749
RS22,7.8306823
SE11,2.7904296
SE12,2.6432433
NL33,7.8917785
NL34,8.238031
NL41,8.112421
NL42,8.020227
PL21,5.331323
UKM6,6.537103
TR22,10.318567
TRC2,11.274805
TRC3,11.369593
UKC1,6.685724
UKC2,6.6431518
UKD1,6.334863
UKD3,6.935144
UKD4,6.8645873
UKD6,7.3792357
UKD7,7.677484
UKE1,7.5841002
UKE2,6.7569213
UKE3,7.2813964
RO41,7.7282653
RO42,7.4244323
RS11,9.3311405
TR41,8.758448
TR42,8.375177
TR51,8.088678
TR52,8.017939
TR61,9.67016
TR62,10.616663
TR63,10.386927
TR71,7.997583
TR72,5.8825316
TR81,7.8784423
UKK1,7.766504
UKK2,8.128168
UKK3,9.1201725
UKK4,8.236567
UKL1,7.636499
UKL2,6.9637084
UKM5,6.128717
UKM7,5.785608
UKM8,6.626611
UKM9,6.590387
UKN0,7.5012755
SE21,3.4237914
SE22,4.095178
SE23,3.398767
SE31,1.1372315
SE32,-0.7986511
SE33,-3.076117
SI03,7.383783
SI04,6.985559
SK01,7.5947814
SK02,7.052179
SK03,4.9695983
SK04,5.6604247
TR10,9.830805
TR21,9.6714115
UKE4,6.8044066
UKF1,7.276239
UKF2,7.6381164
UKF3,7.7719054
UKG1,7.4647155
UKG2,7.111688
UKG3,7.4986815
UKH1,7.7838073
UKH2,7.82995
UKH3,8.010492
UKI3,8.009058
UKI4,8.009058
UKI5,7.9910216
UKI6,7.979028
UKI7,7.9173827
UKJ1,7.6708922
UKJ2,8.1047
UKJ3,8.095789
UKJ4,8.145105
NO09,1.2815186
NO0A,1.3177124
NO0B,-0.41971436
HR05,8.905909
HR06,8.703058
NO02,-1.57099
NO06,0.32351074
NO07,-1.9305176
NO08,0.43239745
