nuts,February Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
EL43,13.070978
EL51,6.428064
EL52,7.256067
FI20,-1.0812134
FR10,5.2221923
FRB0,5.6389403
FRC1,4.7947326
FRC2,3.7075438
FRD1,6.007837
FRD2,5.389032
FRE1,5.104547
FRE2,4.8960204
FRF1,3.2662292
NL13,3.9177184
NL21,4.089502
NL22,4.3627257
NL23,4.445062
NL31,4.5433593
NL32,4.9275146
ITG2,10.470606
ITH1,-4.9538026
ITH2,-1.4747986
FRI3,6.9224486
FRJ1,6.241052
FRJ2,5.583551
FRK1,4.051843
FRK2,2.4268432
FRL0,4.5725646
FRM0,9.579554
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.783564
TR32,9.069056
TR33,5.4731383
HR03,6.6999755
HR02,3.9616027
HU11,3.2144713
HU12,3.1343017
HU21,3.018762
HU22,3.2254272
PT16,9.972956
PT17,12.735956
FRF2,4.309747
FRF3,3.4814696
FRG0,6.5233703
FRH0,7.325311
FRI1,7.5937133
FRI2,5.337457
ITC4,2.631555
ITF1,5.5597777
ITF2,6.7696776
ITF3,8.538843
ITF4,10.264978
ITF5,7.87359
ITF6,10.245234
ITG1,11.987635
LT01,-2.001593
LT02,-1.6269287
LU00,2.5852294
PL22,0.911554
PL41,1.3325135
PL42,1.5247132
PT18,11.488855
PT20,-273.15
PT30,-273.15
RO11,1.0936524
RO12,-0.02689209
RO21,0.36785278
RO22,3.136804
RO31,2.9842467
RO32,3.545465
ITH3,3.6777282
ITH4,2.8367858
ITH5,5.855676
ITI1,7.58172
ITI2,5.633325
ITI3,6.695184
ITI4,7.1949706
LI00,-1.4631408
FI1D,-7.807654
TR82,3.7058654
TR83,3.9580321
TR90,0.62697756
TRA1,-3.5466676
TRA2,-4.1155763
PL43,1.9885803
PL51,1.174524
PL52,1.4136597
PL61,0.7072693
PL62,-0.36295167
PL63,0.6241089
PL71,1.014032
PL72,0.9404236
PL81,0.44790038
PL82,0.6729065
PL84,-0.7197021
PL91,0.56917727
PL92,0.35878906
PT11,8.093714
PT15,12.887476
TRB1,0.064813234
TRB2,-1.9158996
TRC1,6.0328
RS12,4.1725707
RS21,3.1649718
RS22,3.0850158
SE11,-0.7232727
SE12,-1.4086059
NL33,4.9200683
NL34,5.0852904
NL41,4.694696
NL42,4.454889
PL21,0.37703857
UKM6,5.681482
TR22,7.8129516
TRC2,6.598474
TRC3,7.080072
UKC1,4.889581
UKC2,4.986749
UKD1,4.664636
UKD3,4.8795104
UKD4,5.0507445
UKD6,5.301477
UKD7,5.8421264
UKE1,5.521692
UKE2,4.813867
UKE3,4.968683
RO41,3.010919
RO42,2.6073546
RS11,4.664911
TR41,5.6289916
TR42,5.205774
TR51,4.1806273
TR52,3.6751037
TR61,6.3225646
TR62,6.728357
TR63,6.0160155
TR71,3.720117
TR72,0.10003052
TR81,4.500421
UKK1,5.532312
UKK2,6.207544
UKK3,7.801904
UKK4,6.5762267
UKL1,5.9930663
UKL2,4.9103637
UKM5,4.7273498
UKM7,4.173303
UKM8,5.0812316
UKM9,5.214624
UKN0,6.2119384
SE21,0.14586791
SE22,1.2078186
SE23,-0.07047119
SE31,-3.641272
SE32,-5.5221925
SE33,-7.944342
SI03,2.302484
SI04,2.406488
SK01,2.7759337
SK02,2.2068725
SK03,0.07567749
SK04,0.6872498
TR10,7.499292
TR21,6.6764464
UKE4,4.6479735
UKF1,4.9379516
UKF2,5.168115
UKF3,5.448755
UKG1,5.151544
UKG2,4.9380126
UKG3,5.184076
UKH1,5.536554
UKH2,5.27041
UKH3,5.5608153
UKI3,5.3857055
UKI4,5.3857055
UKI5,5.3607726
UKI6,5.3605285
UKI7,5.3388915
UKJ1,5.2269835
UKJ2,5.950525
UKJ3,5.942468
UKJ4,5.82348
NO09,-2.1614137
NO0A,-1.2773803
NO0B,-1.1387085
HR05,3.8340697
HR06,3.6328368
NO02,-6.0833497
NO06,-3.094397
NO07,-5.508429
NO08,-3.8812013
