nuts,Spring Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
UKM9,7.9747252
UKN0,8.71203
SE21,6.3844237
SE22,7.0446105
SE23,6.760156
SE31,4.903497
SE32,2.8010497
SE33,0.9237
SI03,10.502741
SI04,10.00091
SK01,11.443964
SK02,10.813959
SK03,8.598047
SK04,9.270227
TR10,12.825495
TR21,13.06872
UKE4,8.341272
UKF1,8.885553
UKF2,9.3258
UKF3,9.328028
UKG1,9.1844425
UKG2,8.792871
UKG3,9.25622
UKH1,9.3640995
UKH2,9.616999
UKH3,9.666803
UKI3,9.88415
UKI4,9.88415
UKI5,9.79809
UKI6,9.793207
UKI7,9.756647
UKJ1,9.495844
UKJ2,9.769587
UKJ3,9.780756
UKJ4,9.785913
NO09,4.294122
NO0A,3.451532
NO0B,-1.2710937
HR05,12.251093
HR06,12.088068
NO02,2.0476928
NO06,3.1301818
NO07,0.64519656
NO08,3.8450255
