nuts,Summer Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
LI00,15.964838
FI1D,15.10354
TR82,21.4815
TR83,21.779322
TR90,19.143274
TRA1,18.910334
TRA2,16.883173
PL43,19.725489
PL51,18.981653
PL52,19.590906
PL61,18.926111
PL62,18.478144
PL63,18.14245
PL71,19.562677
PL72,19.607538
PL81,19.682764
PL82,19.275171
PL84,18.844934
PL91,19.484552
PL92,19.285944
PT11,21.335016
PT15,23.12301
TRB1,24.520472
TRB2,22.846125
TRC1,28.917566
RS12,23.898737
RS21,21.448847
RS22,22.160608
SE11,17.105677
SE12,17.161371
NL33,18.041132
NL34,18.368097
NL41,18.632746
NL42,18.77151
PL21,18.613276
UKM6,13.386103
TR22,24.965876
TRC2,31.079706
TRC3,31.480616
UKC1,15.254877
UKC2,14.98678
UKD1,14.900049
UKD3,15.791071
UKD4,15.590815
UKD6,16.30047
UKD7,16.392542
UKE1,16.43661
UKE2,15.492273
UKE3,16.395258
RO41,23.02627
RO42,21.493341
RS11,23.989344
TR41,23.759241
TR42,22.363642
TR51,24.008661
TR52,24.277552
TR61,24.880701
TR62,25.3677
TR63,25.847773
TR71,24.194391
TR72,21.28448
TR81,21.47085
UKK1,17.092554
UKK2,16.923548
UKK3,16.570826
UKK4,16.478632
UKL1,15.750818
UKL2,15.817865
UKM5,13.830805
UKM7,14.031794
UKM8,14.626459
UKM9,14.555445
UKN0,14.885981
SE21,17.070948
SE22,17.303553
SE23,16.975885
SE31,15.896967
SE32,14.202265
SE33,13.628717
SI03,20.92489
SI04,20.500116
SK01,21.706171
SK02,20.938745
SK03,18.518549
SK04,19.290674
TR10,24.84176
TR21,25.236017
UKE4,15.733362
UKF1,16.48849
UKF2,17.140894
UKF3,17.101252
UKG1,16.777338
UKG2,16.197077
UKG3,16.881617
UKH1,17.25097
UKH2,17.54629
UKH3,17.67608
UKI3,17.897211
UKI4,17.897211
UKI5,17.792292
UKI6,17.761744
UKI7,17.669306
UKJ1,17.285578
UKJ2,17.39422
UKJ3,17.34646
UKJ4,17.66488
NO09,14.581263
NO0A,12.876032
NO0B,5.892236
HR05,22.99328
HR06,22.631433
NO02,13.011621
NO06,12.966669
NO07,12.003229
NO08,14.714319
