nuts,Winter Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
ES24,7.7832885
ES30,7.9302
IE05,8.541376
IE06,7.9471984
IS00,1.5264832
ITC3,9.19903
FI19,-1.1970581
FI1B,0.36507568
FI1C,-0.23496094
DEA1,6.0499816
DEA2,5.165582
DEA3,5.766687
DEA4,5.0363097
DEA5,4.612695
DEB1,4.6259704
DEB2,4.387872
DEB3,5.138513
DEC0,4.876306
DED2,3.9911742
DED4,3.375238
DED5,4.8315063
DEE0,4.7448974
DEF0,5.121942
DEG0,3.8088012
DK01,4.994745
DK02,5.1357055
DK03,5.0937743
DK04,5.1322875
ES41,7.3240294
ES42,8.631861
HU23,4.9083495
HU31,4.08172
HU32,4.4360595
HU33,4.6265197
IE04,8.134821
EE00,1.1319824
EL30,14.111444
EL41,14.578028
EL43,15.351343
EL51,8.180872
EL52,8.716761
FI20,3.1498656
FR10,7.054437
FRB0,7.48208
FRC1,6.561609
FRC2,5.5927978
FRD1,8.172724
FRD2,7.542047
FRE1,7.1489806
FRE2,6.830072
FRF1,5.2376647
NL13,5.8229003
NL21,5.9783874
NL22,6.1796203
NL23,6.444513
NL31,6.401178
NL32,7.263971
ITG2,12.860193
ITH1,-2.6659303
ITH2,0.85057986
FRI3,8.692774
FRJ1,8.064356
FRJ2,7.37771
FRK1,5.983545
FRK2,4.513513
FRL0,6.7889953
FRM0,11.982965
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,11.4847355
TR32,10.766993
TR33,6.7328734
HR03,8.942743
HR02,5.4810424
HU11,4.379358
HU12,4.2953734
HU21,4.4247985
HU22,4.6712584
PT16,11.224756
PT17,14.32049
FRF2,6.0955443
FRF3,5.3058715
FRG0,8.494074
FRH0,9.456049
FRI1,9.2876835
FRI2,7.075372
ITC4,4.587915
ITF1,7.811395
ITF2,8.992731
ITF3,10.65307
ITF4,12.525507
ITF5,10.022638
ITF6,12.636316
ITG1,14.437922
LT01,0.964502
LT02,1.6664673
LU00,4.549066
PL22,3.107263
PL41,3.7137694
PL42,4.003778
PT18,12.672846
PT20,-273.15
PT30,-273.15
RO11,2.5306945
RO12,1.8294312
RO21,2.1749206
RO22,4.4400573
RO31,3.9174132
RO32,4.3118224
ITH3,5.7433105
ITH4,5.019464
ITH5,7.743982
ITI1,9.655603
ITI2,7.66546
ITI3,8.937342
ITI4,9.38891
LI00,1.0544678
FI1D,-3.9668336
TR82,5.549188
TR83,5.68728
TR90,2.8235106
TRA1,-0.8947815
TRA2,-1.8037475
PL43,4.248468
PL51,3.424646
PL52,3.6354003
PL61,3.2820678
PL62,2.5101867
PL63,3.4856505
PL71,3.2889037
PL72,3.1785216
PL81,2.6947875
PL82,2.5682921
PL84,2.0149474
PL91,2.975946
PL92,2.8358092
PT11,9.440027
PT15,14.508875
TRB1,2.5332885
TRB2,0.7785889
TRC1,7.8473144
RS12,5.2605224
RS21,4.3675475
RS22,4.3109984
SE11,2.520349
SE12,1.7276245
NL33,6.9101806
NL34,7.0645385
NL41,6.490625
NL42,6.2490478
PL21,2.537866
UKM6,7.3225036
TR22,9.817194
TRC2,8.240076
TRC3,8.669916
UKC1,6.7591186
UKC2,6.798242
UKD1,6.551172
UKD3,6.726953
UKD4,6.946222
UKD6,7.1570373
UKD7,7.79104
UKE1,7.3730407
UKE2,6.6813903
UKE3,6.8656554
RO41,4.0381103
RO42,3.9441466
RS11,5.646814
TR41,6.794458
TR42,7.019037
TR51,5.4331603
TR52,5.2700133
TR61,8.15484
TR62,8.844324
TR63,8.099634
TR71,5.2387023
TR72,2.5893798
TR81,6.529382
UKK1,7.550134
UKK2,8.459894
UKK3,9.999231
UKK4,8.832697
UKL1,8.087305
UKL2,6.89306
UKM5,6.492059
UKM7,5.98504
UKM8,6.7302184
UKM9,7.0071654
UKN0,7.972467
SE21,2.9876647
SE22,3.7997375
SE23,2.8127685
SE31,-0.15375367
SE32,-1.9501404
SE33,-4.4362245
SI03,4.3315673
SI04,4.7513366
SK01,4.3667846
SK02,3.9157043
SK03,2.0411925
SK04,2.3698974
TR10,10.18191
TR21,8.772547
UKE4,6.557611
UKF1,6.8299193
UKF2,7.093408
UKF3,7.319635
UKG1,7.0953918
UKG2,6.8479247
UKG3,7.1036315
UKH1,7.6036925
UKH2,7.30343
UKH3,7.733209
UKI3,7.5489745
UKI4,7.5489745
UKI5,7.5025268
UKI6,7.5325255
UKI7,7.457605
UKJ1,7.25448
UKJ2,8.308893
UKJ3,8.219446
UKJ4,8.109583
NO09,0.71257937
NO0A,1.0960327
NO0B,3.3296447
HR05,5.616113
HR06,5.3654723
NO02,-3.2235475
NO06,-0.48828736
NO07,-2.1644654
NO08,-1.0454162
