nuts,September Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
PL92,14.067194
PT11,18.869257
PT15,21.955317
TRB1,19.825495
TRB2,18.08053
TRC1,24.233606
RS12,18.479273
RS21,16.624414
RS22,17.109888
SE11,13.019648
SE12,12.237543
NL33,15.789789
NL34,15.945459
NL41,15.55578
NL42,15.402796
PL21,13.722071
UKM6,12.357447
TR22,21.134638
TRC2,25.770868
TRC3,25.846369
UKC1,13.229486
UKC2,13.047968
UKD1,12.965815
UKD3,13.582239
UKD4,13.634699
UKD6,14.065485
UKD7,14.550959
UKE1,14.519342
UKE2,13.417902
UKE3,14.082117
RO41,17.696466
RO42,16.37359
RS11,18.734339
TR41,19.638971
TR42,18.827478
TR51,19.468287
TR52,19.794855
TR61,21.07638
TR62,22.135157
TR63,22.393702
TR71,19.681696
TR72,17.313318
TR81,18.109674
UKK1,14.758997
UKK2,15.219172
UKK3,15.440302
UKK4,15.025324
UKL1,14.3119755
UKL2,13.692652
UKM5,12.205683
UKM7,12.003595
UKM8,12.673273
UKM9,12.889795
UKN0,13.373438
SE21,12.879999
SE22,13.613428
SE23,12.830164
SE31,10.772699
SE32,8.914087
SE33,7.725824
SI03,15.845484
SI04,15.833033
SK01,16.658197
SK02,15.901209
SK03,13.5654545
SK04,14.111963
TR10,21.49679
TR21,21.141687
UKE4,13.475428
UKF1,14.13476
UKF2,14.722376
UKF3,14.869623
UKG1,14.427515
UKG2,13.906977
UKG3,14.48266
UKH1,15.302637
UKH2,15.026361
UKH3,15.535028
UKI3,15.218103
UKI4,15.218103
UKI5,15.204645
UKI6,15.179926
UKI7,15.088221
UKJ1,14.779718
UKJ2,15.619257
UKJ3,15.394037
UKJ4,15.765619
NO09,10.27685
NO0A,9.604273
NO0B,5.034326
HR05,17.642664
HR06,17.344812
NO02,7.879083
NO06,9.154688
NO07,7.76037
NO08,9.703211
