nuts,Spring Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
RS12,13.651148
RS21,11.620325
RS22,12.034937
SE11,6.356958
SE12,6.834314
NL33,10.514917
NL34,10.851587
NL41,10.980127
NL42,10.965815
PL21,9.549219
UKM6,8.115412
TR22,13.941797
TRC2,16.17541
TRC3,16.283197
UKC1,8.58816
UKC2,8.514826
UKD1,8.401392
UKD3,9.156366
UKD4,8.998346
UKD6,9.621027
UKD7,9.77569
UKE1,9.475122
UKE2,8.731195
UKE3,9.419397
RO41,12.569788
RO42,11.77157
RS11,13.837488
TR41,12.602289
TR42,11.829126
TR51,12.215052
TR52,12.245203
TR61,13.226465
TR62,14.161463
TR63,14.209192
TR71,12.302546
TR72,9.784052
TR81,11.18194
UKK1,10.075708
UKK2,10.123774
UKK3,10.470087
UKK4,9.971094
UKL1,9.451258
UKL2,9.135706
UKM5,7.8571715
UKM7,7.8488708
UKM8,8.576105
UKM9,8.472376
UKN0,9.071924
SE21,7.1280456
SE22,7.6957335
SE23,7.3246093
SE31,5.494806
SE32,3.5371642
SE33,1.9625183
SI03,11.05868
SI04,10.553797
SK01,11.963068
SK02,11.406916
SK03,9.263941
SK04,10.031519
TR10,13.235041
TR21,13.656031
UKE4,8.933924
UKF1,9.462488
UKF2,9.89065
UKF3,9.881037
UKG1,9.750788
UKG2,9.363611
UKG3,9.8328495
UKH1,9.888575
UKH2,10.172388
UKH3,10.204767
UKI3,10.41897
UKI4,10.41897
UKI5,10.3467655
UKI6,10.352686
UKI7,10.291071
UKJ1,10.040125
UKJ2,10.28042
UKJ3,10.278498
UKJ4,10.321039
NO09,4.9075866
NO0A,4.148706
NO0B,0.13582763
HR05,12.785334
HR06,12.619074
NO02,2.676355
NO06,3.8578734
NO07,1.8353516
NO08,4.476953
