nuts,May Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
RO31,17.313349
RO32,18.396173
ITH3,15.4630375
ITH4,14.804529
ITH5,17.252588
ITI1,16.708307
ITI2,15.873224
ITI3,16.883509
ITI4,16.373682
LI00,10.206751
FI1D,8.586664
TR82,14.735498
TR83,15.240381
TR90,12.774805
TRA1,11.064875
TRA2,9.874781
PL43,15.130396
PL51,14.338251
PL52,14.909723
PL61,14.487177
PL62,14.028254
PL63,13.206263
PL71,15.013575
PL72,15.074793
PL81,15.229425
PL82,14.799463
PL84,14.525171
PL91,15.158625
PL92,14.949518
PT11,14.760218
PT15,18.16656
TRB1,15.127893
TRB2,13.218103
TRC1,19.858698
RS12,18.455317
RS21,16.049402
RS22,16.436823
SE11,10.172724
SE12,11.396357
NL33,13.231928
NL34,13.548059
NL41,14.021418
NL42,14.115686
PL21,14.114527
UKM6,9.584681
TR22,18.047998
TRC2,21.127436
TRC3,21.309504
UKC1,10.4257145
UKC2,10.290186
UKD1,10.462702
UKD3,11.276941
UKD4,11.09054
UKD6,11.729609
UKD7,11.835718
UKE1,11.413507
UKE2,10.679316
UKE3,11.466852
RO41,17.113153
RO42,16.239405
RS11,18.393305
TR41,16.895655
TR42,15.805292
TR51,16.54458
TR52,16.504816
TR61,17.050135
TR62,17.823969
TR63,18.163599
TR71,16.49978
TR72,13.871515
TR81,15.048487
UKK1,12.236353
UKK2,12.127344
UKK3,12.057062
UKK4,11.809992
UKL1,11.315027
UKL2,11.214167
UKM5,9.399897
UKM7,9.753138
UKM8,10.638361
UKM9,10.3649235
UKN0,10.892969
SE21,11.293695
SE22,11.720301
SE23,11.823328
SE31,10.39953
SE32,8.519403
SE33,6.8453918
SI03,15.428156
SI04,14.801142
SK01,16.548304
SK02,15.93545
SK03,13.852869
SK04,14.528589
TR10,17.539423
TR21,18.060999
UKE4,10.95907
UKF1,11.545343
UKF2,11.972101
UKF3,11.9656925
UKG1,11.868525
UKG2,11.455652
UKG3,11.955988
UKH1,11.991388
UKH2,12.297968
UKH3,12.36178
UKI3,12.537897
UKI4,12.537897
UKI5,12.489862
UKI6,12.520166
UKI7,12.434229
UKJ1,12.159967
UKJ2,12.314508
UKJ3,12.369074
UKJ4,12.4127445
NO09,9.031305
NO0A,7.2473083
NO0B,0.7681519
HR05,17.286707
HR06,17.109308
NO02,7.5774474
NO06,7.8454223
NO07,5.5089965
NO08,9.075098
