nuts,January Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
UKM9,5.195459
UKN0,5.962518
SE21,0.36889037
SE22,1.2926575
SE23,-0.011694336
SE31,-4.0786195
SE32,-6.226416
SE33,-8.6688595
SI03,1.1863037
SI04,1.6310669
SK01,1.4746033
SK02,0.6065308
SK03,-1.5591797
SK04,-1.2449402
TR10,7.395349
TR21,5.8598266
UKE4,4.746362
UKF1,5.125726
UKF2,5.4228454
UKF3,5.5990233
UKG1,5.438806
UKG2,5.224054
UKG3,5.491754
UKH1,5.837091
UKH2,5.554498
UKH3,5.9181457
UKI3,5.782617
UKI4,5.782617
UKI5,5.7420897
UKI6,5.7336974
UKI7,5.70379
UKJ1,5.500055
UKJ2,6.3983703
UKJ3,6.3434386
UKJ4,6.210504
NO09,-2.4906678
NO0A,-1.5498718
NO0B,-0.512915
HR05,2.4410644
HR06,2.2782226
NO02,-7.299872
NO06,-3.4607606
NO07,-5.6745973
NO08,-4.999701
