nuts,February Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DEA4,3.5625243
DEA5,3.0337462
DEB1,3.206262
DEB2,2.9928222
DEB3,3.8343139
DEC0,3.6177306
DED2,2.50802
DED4,1.7384888
DED5,3.3049865
DEE0,3.1609435
DEF0,3.3653808
DEG0,2.2489867
DK01,2.6674438
DK02,2.8915038
DK03,3.0208983
DK04,2.9644713
ES41,6.329492
ES42,7.937158
HU23,3.7413268
HU31,2.949121
HU32,3.3915954
HU33,3.7881713
IE04,6.81344
EE00,-2.000464
EL30,12.154535
EL41,12.496546
EL43,13.309961
EL51,6.8339477
EL52,7.588403
FI20,-0.22302857
FR10,5.6635375
FRB0,6.1052794
FRC1,5.252588
FRC2,4.333856
FRD1,6.6836486
FRD2,6.032556
FRE1,5.7234435
FRE2,5.392938
FRF1,3.9137206
NL13,4.4070067
NL21,4.5443664
NL22,4.806146
NL23,4.8827147
NL31,4.9987426
NL32,5.284662
ITG2,10.906641
ITH1,-4.080176
ITH2,-0.58157957
FRI3,7.4347167
FRJ1,6.719568
FRJ2,6.1131225
FRK1,4.5277953
FRK2,3.1018004
FRL0,5.1816955
FRM0,10.051386
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.978785
TR32,9.230005
TR33,5.7958007
HR03,6.9914184
HR02,4.2292113
HU11,3.5067382
HU12,3.484674
HU21,3.3443542
HU22,3.5580993
PT16,10.355402
PT17,13.068842
FRF2,4.697595
FRF3,4.019281
FRG0,7.1450133
FRH0,7.9000793
FRI1,8.064966
FRI2,5.7384276
ITC4,3.379846
ITF1,6.012567
ITF2,7.1382995
ITF3,8.733423
ITF4,10.581049
ITF5,8.167994
ITF6,10.455378
ITG1,12.168299
LT01,-1.0916504
LT02,-0.57770383
LU00,3.1908507
PL22,1.6508423
PL41,2.1507506
PL42,2.313684
PT18,11.905817
PT20,-273.15
PT30,-273.15
RO11,1.4145447
RO12,0.35326537
RO21,0.73247683
RO22,3.452478
RO31,3.3708434
RO32,3.8341002
ITH3,4.3983397
ITH4,3.684198
ITH5,6.181207
ITI1,7.937158
ITI2,5.9604125
ITI3,6.997949
ITI4,7.555261
LI00,-0.76886594
FI1D,-6.70011
TR82,3.7995543
TR83,4.3729186
TR90,0.7006775
TRA1,-3.3589234
TRA2,-3.8717713
PL43,2.6751037
PL51,2.0015197
PL52,2.3104186
PL61,1.6779419
PL62,0.6875855
PL63,1.6417176
PL71,1.8040406
PL72,1.683313
PL81,1.1815125
PL82,1.2427613
PL84,0.33284912
PL91,1.409021
PL92,1.2788635
PT11,8.544153
PT15,13.356806
TRB1,0.77086794
TRB2,-1.6931213
TRC1,6.518213
RS12,4.3117003
RS21,3.5022216
RS22,3.3266845
SE11,0.05581055
SE12,-0.694281
NL33,5.3378844
NL34,5.621942
NL41,5.1729674
NL42,4.9124694
PL21,0.9739319
UKM6,5.8206725
TR22,8.1843815
TRC2,6.7977843
TRC3,7.314935
UKC1,5.4107604
UKC2,5.4459167
UKD1,5.0916076
UKD3,5.3650146
UKD4,5.479028
UKD6,5.814752
UKD7,6.2894835
UKE1,5.9668517
UKE2,5.3059936
UKE3,5.503198
RO41,3.4251342
RO42,2.9217772
RS11,4.74505
TR41,5.7505736
TR42,5.5089355
TR51,4.399286
TR52,4.1780944
TR61,6.892114
TR62,7.011255
TR63,6.366632
TR71,4.023645
TR72,0.7338501
TR81,4.8247313
UKK1,6.075311
UKK2,6.7224364
UKK3,8.183435
UKK4,7.0375304
UKL1,6.4115844
UKL2,5.422357
UKM5,5.076715
UKM7,4.5541625
UKM8,5.3697753
UKM9,5.5294127
UKN0,6.5330443
SE21,0.6332642
SE22,1.5329529
SE23,0.42888793
SE31,-2.7170472
SE32,-4.6491456
SE33,-6.859442
SI03,3.1292357
SI04,3.311273
SK01,3.2931762
SK02,2.8061461
SK03,0.8159119
SK04,1.297937
TR10,8.066309
TR21,7.12713
UKE4,5.158624
UKF1,5.480005
UKF2,5.7366576
UKF3,5.9484496
UKG1,5.707025
UKG2,5.477136
UKG3,5.7355285
UKH1,6.040918
UKH2,5.9247375
UKH3,6.185327
UKI3,6.1312194
UKI4,6.1312194
UKI5,6.08526
UKI6,6.1041503
UKI7,6.0370727
UKJ1,5.845636
UKJ2,6.604669
UKJ3,6.555963
UKJ4,6.433313
NO09,-1.5672058
NO0A,-0.70987546
NO0B,-0.52930295
HR05,4.3494506
HR06,4.125482
NO02,-5.467688
NO06,-2.2405763
NO07,-4.568915
NO08,-3.3440309
