nuts,Winter Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
RO42,1.9086853
RS11,3.7161803
TR41,5.2586913
TR42,5.3413634
TR51,4.037317
TR52,3.9009643
TR61,6.519403
TR62,6.84823
TR63,5.7004943
TR71,3.5396972
TR72,-0.0579895
TR81,4.874841
UKK1,6.437921
UKK2,7.2727904
UKK3,8.916742
UKK4,7.656305
UKL1,6.944116
UKL2,5.739465
UKM5,5.431909
UKM7,4.689203
UKM8,5.4612365
UKM9,5.746301
UKN0,6.800714
SE21,1.2573181
SE22,2.1919494
SE23,1.0358521
SE31,-2.5543885
SE32,-4.5443482
SE33,-6.794287
SI03,2.1989074
SI04,2.592279
SK01,2.5130248
SK02,1.7643982
SK03,-0.36737671
SK04,0.05581055
TR10,8.527521
TR21,6.9874816
UKE4,5.3645263
UKF1,5.7116942
UKF2,5.974115
UKF3,6.1569457
UKG1,5.95202
UKG2,5.7107177
UKG3,5.970514
UKH1,6.421167
UKH2,6.1268554
UKH3,6.511438
UKI3,6.3071227
UKI4,6.3071227
UKI5,6.271539
UKI6,6.3070617
UKI7,6.2489257
UKJ1,6.0897765
UKJ2,7.099817
UKJ3,7.040033
UKJ4,6.8559203
NO09,-1.2571777
NO0A,-0.5922607
NO0B,0.6839539
HR05,3.5313048
HR06,3.3565307
NO02,-5.8023744
NO06,-2.1954103
NO07,-4.1095033
NO08,-3.3559327
