nuts,December Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
ITG1,12.779413
LT01,-1.2004455
LT02,-0.3739685
LU00,2.6506286
PL22,0.37734374
PL41,1.2659851
PL42,1.8369995
PT18,10.99148
PT20,-273.15
PT30,-273.15
RO11,-0.6659912
RO12,-1.7433532
RO21,-1.0273498
RO22,1.7502991
RO31,0.9296204
RO32,1.152887
ITH3,2.7471557
ITH4,2.1041198
ITH5,5.3450255
ITI1,7.8054442
ITI2,5.530847
ITI3,6.9397826
ITI4,7.4186645
LI00,-1.9110168
FI1D,-6.9376893
TR82,3.087213
TR83,3.2190795
TR90,0.28389892
TRA1,-4.233496
TRA2,-4.831366
PL43,1.8657166
PL51,0.8258606
PL52,0.97588503
PL61,0.9214417
PL62,0.30223998
PL63,1.429834
PL71,0.854303
PL72,0.56307375
PL81,0.26464233
PL82,-0.12634888
PL84,-0.27542725
PL91,0.6492249
PL92,0.49489745
PT11,7.674463
PT15,13.103418
TRB1,-0.26581421
TRB2,-2.9667115
TRC1,5.1863036
RS12,2.463922
RS21,1.1523377
RS22,1.1569763
SE11,0.8410889
SE12,-0.38620606
NL33,5.4652953
NL34,5.626489
NL41,4.874841
NL42,4.5406737
PL21,-0.30948487
UKM6,5.910089
TR22,7.7840514
TRC2,5.3693175
TRC3,5.573297
UKC1,4.9689574
UKC2,5.0132384
UKD1,4.8152404
UKD3,5.0076537
UKD4,5.304254
UKD6,5.558954
UKD7,6.3673034
UKE1,5.6525817
UKE2,4.868402
UKE3,5.085077
RO41,0.7888123
RO42,0.83022463
RS11,2.6420226
TR41,4.544
TR42,4.8622985
TR51,2.7376952
TR52,2.6755004
TR61,5.818506
TR62,6.39776
TR63,5.2610106
TR71,2.3798156
TR72,-0.33359376
TR81,4.4643188
UKK1,5.9533324
UKK2,7.0180297
UKK3,8.88125
UKK4,7.5300536
UKL1,6.8543944
UKL2,5.460901
UKM5,4.761682
UKM7,4.0192504
UKM8,4.8611693
UKM9,5.2477355
UKN0,6.394586
SE21,1.1049439
SE22,2.1456237
SE23,0.96187747
SE31,-2.9594483
SE32,-5.183081
SE33,-7.6626954
SI03,1.5060669
SI04,2.0424132
SK01,1.4691101
SK02,0.77260745
SK03,-1.2775635
SK04,-0.92963254
TR10,8.572626
TR21,6.8154235
UKE4,4.7470336
UKF1,5.117151
UKF2,5.4223876
UKF3,5.627008
UKG1,5.4581847
UKG2,5.249933
UKG3,5.4510436
UKH1,6.0581603
UKH2,5.6556945
UKH3,6.177881
UKI3,5.940912
UKI4,5.940912
UKI5,5.886621
UKI6,5.913751
UKI7,5.8471007
UKJ1,5.606256
UKJ2,6.8120666
UKJ3,6.7090697
UKJ4,6.570581
NO09,-1.6411499
NO0A,-1.1568664
NO0B,-1.5892395
HR05,2.600122
HR06,2.4977965
NO02,-6.9257874
NO06,-2.9035707
NO07,-5.2706666
NO08,-4.158606
