nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
ITF3,10.04043
ITF4,11.813776
ITF5,9.726465
ITF6,11.373468
ITG1,12.718073
LT01,1.8258606
LT02,2.1716552
LU00,5.365228
PL22,4.4441466
PL41,4.7030272
PL42,4.356775
PT18,13.5828495
PT20,-273.15
PT30,-273.15
RO11,4.840448
RO12,3.443994
RO21,4.035608
RO22,6.431024
RO31,6.5779967
RO32,7.427606
ITH3,6.8569884
ITH4,6.008508
ITH5,8.987879
ITI1,9.639765
ITI2,7.979791
ITI3,8.880121
ITI4,9.102198
LI00,1.7289978
FI1D,-4.011786
TR82,5.880365
TR83,6.504724
TR90,3.2004027
TRA1,0.18822631
TRA2,-0.70670164
PL43,5.2272887
PL51,4.5404906
PL52,4.8832946
PL61,4.0779357
PL62,3.191339
PL63,3.5334105
PL71,4.4285827
PL72,4.449365
PL81,4.025018
PL82,4.2064147
PL84,2.94729
PL91,4.122064
PL92,3.9103942
PT11,10.157526
PT15,14.287073
TRB1,3.937799
TRB2,1.7516419
TRC1,9.532221
RS12,8.029413
RS21,6.5506835
RS22,6.740991
SE11,1.4604126
SE12,1.3450867
NL33,6.8890014
NL34,7.207483
NL41,7.072412
NL42,6.8939147
PL21,3.977075
UKM6,5.9630065
TR22,9.532831
TRC2,10.203821
TRC3,10.434839
UKC1,5.9153686
UKC2,5.914911
UKD1,5.572534
UKD3,6.1919494
UKD4,6.0917296
UKD6,6.654016
UKD7,6.91662
UKE1,6.7378783
UKE2,5.9748473
UKE3,6.495172
RO41,6.6560607
RO42,6.211572
RS11,8.402826
TR41,7.8857665
TR42,7.35708
TR51,6.9122252
TR52,6.78457
TR61,8.535181
TR62,9.218897
TR63,8.914789
TR71,6.7033935
TR72,3.9375243
TR81,6.714563
UKK1,7.0692077
UKK2,7.3720946
UKK3,8.347742
UKK4,7.480188
UKL1,6.87536
UKL2,6.222833
UKM5,5.328485
UKM7,5.052789
UKM8,5.9227843
UKM9,5.949884
UKN0,6.8071837
SE21,2.0639586
SE22,2.9277587
SE23,2.1493163
SE31,-0.34393921
SE32,-2.4976563
SE33,-4.7186646
SI03,6.1570983
SI04,5.8415465
SK01,6.422876
SK02,5.823053
SK03,3.683679
SK04,4.263086
TR10,9.038294
TR21,8.936029
UKE4,6.0281005
UKF1,6.482721
UKF2,6.809625
UKF3,6.954736
UKG1,6.7210326
UKG2,6.383325
UKG3,6.7611327
UKH1,6.8910155
UKH2,6.9976745
UKH3,7.0849547
UKI3,7.179498
UKI4,7.179498
UKI5,7.1313415
UKI6,7.129022
UKI7,7.094873
UKJ1,6.90719
UKJ2,7.331903
UKJ3,7.3376403
UKJ4,7.275354
NO09,-0.063970946
NO0A,0.056085207
NO0B,-2.0855775
HR05,7.8142943
HR06,7.6075683
NO02,-3.1209474
NO06,-1.1785034
NO07,-3.5990357
NO08,-0.9781555
