nuts,June Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,26.086054
TR32,25.676813
TR33,23.122828
HR03,21.868769
HR02,21.67016
HU11,21.327356
HU12,21.227716
HU21,20.970789
HU22,20.944391
PT16,21.447199
PT17,21.056116
FRF2,18.223139
FRF3,18.049128
FRG0,18.842768
FRH0,17.180353
FRI1,20.364069
FRI2,18.748194
ITC4,19.739801
ITF1,20.85409
ITF2,21.909693
ITF3,22.233149
ITF4,24.689173
ITF5,23.219477
ITF6,23.282984
ITG1,24.176905
LT01,17.466272
LT02,17.215143
LU00,16.651575
PL22,17.96618
PL41,18.246027
PL42,17.224146
PT18,23.631403
PT20,-273.15
PT30,-273.15
RO11,19.233545
RO12,18.043207
RO21,19.93899
RO22,22.701593
RO31,22.32995
RO32,23.576014
ITH3,20.275232
ITH4,19.314844
ITH5,22.433191
ITI1,21.751245
ITI2,21.24035
ITI3,22.212091
ITI4,21.591516
LI00,15.080744
FI1D,15.169764
TR82,19.806818
TR83,20.215418
TR90,17.717371
TRA1,17.26095
TRA2,15.857538
PL43,18.554407
PL51,17.764032
PL52,18.337488
PL61,17.659296
PL62,17.2297
PL63,16.696161
PL71,18.29635
PL72,18.51922
PL81,18.800135
PL82,18.453913
PL84,17.754541
PL91,18.371454
PL92,18.168756
PT11,20.380732
PT15,22.292963
TRB1,22.611994
TRB2,21.064966
TRC1,27.276392
RS12,22.69198
RS21,20.409388
RS22,21.164118
SE11,15.595118
SE12,16.08993
NL33,16.644556
NL34,17.018946
NL41,17.393427
NL42,17.491297
PL21,17.63238
UKM6,12.5802555
TR22,23.985224
TRC2,29.353998
TRC3,29.647486
UKC1,14.37298
UKC2,14.17013
UKD1,14.243433
UKD3,15.1288395
UKD4,14.875574
UKD6,15.593012
UKD7,15.582697
UKE1,15.305384
UKE2,14.613794
UKE3,15.567774
RO41,21.984613
RO42,20.343073
RS11,22.835352
TR41,22.451136
TR42,21.066004
TR51,22.25155
TR52,22.603662
TR61,23.371943
TR62,23.716913
TR63,24.250055
TR71,22.584864
TR72,19.630426
TR81,20.0151
UKK1,16.333246
UKK2,16.179743
UKK3,15.669703
UKK4,15.74209
UKL1,15.042383
UKL2,15.155634
UKM5,12.919245
UKM7,13.438532
UKM8,14.158503
UKM9,13.92544
UKN0,14.264185
SE21,15.738367
SE22,15.839075
SE23,15.866632
SE31,15.034906
SE32,13.599726
SE33,13.608515
SI03,19.663935
SI04,19.219812
SK01,20.501337
SK02,19.738123
SK03,17.392694
SK04,18.245478
TR10,23.40417
TR21,24.084558
UKE4,14.978815
UKF1,15.6626835
UKF2,16.181269
UKF3,16.003626
UKG1,15.953852
UKG2,15.4578495
UKG3,16.024652
UKH1,15.967035
UKH2,16.488398
UKH3,16.470697
UKI3,16.810083
UKI4,16.810083
UKI5,16.713434
UKI6,16.779505
UKI7,16.634974
UKJ1,16.362146
UKJ2,16.354853
UKJ3,16.482416
UKJ4,16.40719
NO09,13.729181
NO0A,12.160425
NO0B,4.5121093
HR05,21.614527
HR06,21.342554
NO02,12.174402
NO06,12.328791
NO07,11.380274
NO08,13.787561
