nuts,Annual Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DEC0,12.723169
DED2,12.243677
DED4,11.445887
DED5,12.999567
DEE0,12.695093
DEF0,12.20315
DEG0,11.682917
DK01,11.81814
DK02,12.035242
DK03,11.810389
DK04,11.608393
ES41,15.219294
ES42,18.090387
HU23,14.915491
HU31,14.125299
HU32,14.954218
HU33,15.152582
IE04,12.169855
EE00,9.893122
EL30,21.282099
EL41,20.769098
EL43,21.41305
EL51,17.336237
EL52,18.02328
FI20,10.118097
FR10,14.138086
FRB0,14.615137
FRC1,14.295008
FRC2,13.504908
FRD1,13.821466
FRD2,13.6010685
FRE1,13.383081
FRE2,13.575983
FRF1,13.233484
NL13,12.718714
NL21,12.917017
NL22,13.075159
NL23,13.059687
NL31,13.077814
NL32,13.191034
ITG2,19.530268
ITH1,6.13714
ITH2,9.5524235
FRI3,15.581476
FRJ1,15.441462
FRJ2,14.812586
FRK1,13.291559
FRK2,12.4934635
FRL0,14.4405155
FRM0,18.45904
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,20.17544
TR32,19.806147
TR33,16.951258
HR03,16.96319
HR02,15.242975
HU11,14.684839
HU12,14.582727
HU21,14.425776
HU22,14.459711
PT16,17.83932
PT17,19.057337
FRF2,13.586817
FRF3,13.07699
FRG0,14.849909
FRH0,14.41308
FRI1,16.256342
FRI2,14.268732
ITC4,13.831568
ITF1,16.005762
ITF2,16.996088
ITF3,18.123133
ITF4,19.905268
ITF5,18.123102
ITF6,19.371698
ITG1,20.72317
LT01,10.556604
LT02,10.732782
LU00,11.991846
PL22,12.005732
PL41,12.337732
PL42,12.059076
PT18,19.751368
PT20,-273.15
PT30,-273.15
RO11,12.488245
RO12,11.5707035
RO21,12.399134
RO22,15.06875
RO31,14.820795
RO32,15.757807
ITH3,14.494989
ITH4,13.590113
ITH5,16.656916
ITI1,17.348566
ITI2,16.170557
ITI3,17.09817
ITI4,17.209223
LI00,9.383936
FI1D,6.637872
TR82,14.706354
TR83,15.03927
TR90,12.562586
TRA1,11.1392765
TRA2,9.699671
PL43,12.7165165
PL51,11.963129
PL52,12.433405
PL61,11.8927555
PL62,11.299952
PL63,11.536707
PL71,12.191797
PL72,12.192255
PL81,12.044519
PL82,11.96612
PL84,11.235956
PL91,12.02923
PL92,11.844812
PT11,16.456232
PT15,19.947046
TRB1,15.448145
TRB2,13.801874
TRC1,19.86004
RS12,15.754328
RS21,14.254572
RS22,14.511011
SE11,10.3293705
SE12,10.072657
NL33,13.248438
NL34,13.464136
NL41,13.3588505
NL42,13.282709
PL21,11.512629
UKM6,10.967463
TR22,18.189325
TRC2,20.916468
TRC3,21.258783
UKC1,11.535913
UKC2,11.422724
UKD1,11.26034
UKD3,11.880365
UKD4,11.8449955
UKD6,12.371668
UKD7,12.692072
UKE1,12.487177
UKE2,11.643305
UKE3,12.241999
RO41,14.80575
RO42,13.85116
RS11,16.042902
TR41,16.560083
TR42,15.809961
TR51,16.102564
TR52,16.408625
TR61,17.823694
TR62,18.431177
TR63,18.2828
TR71,16.221796
TR72,13.70138
TR81,15.111536
UKK1,12.973627
UKK2,13.3276615
UKK3,13.905176
UKK4,13.302118
UKL1,12.609949
UKL2,11.988001
UKM5,10.815393
UKM7,10.58877
UKM8,11.223078
UKM9,11.337122
UKN0,11.939692
SE21,10.571711
SE22,11.058954
SE23,10.463099
SE31,8.514765
SE32,6.8031554
SE33,5.5045104
SI03,13.541712
SI04,13.422571
SK01,14.023584
SK02,13.365046
SK03,11.192286
SK04,11.82757
TR10,17.933374
TR21,17.838037
UKE4,11.729486
UKF1,12.280085
UKF2,12.72378
UKF3,12.790003
UKG1,12.586756
UKG2,12.161188
UKG3,12.629816
UKH1,12.9908695
UKH2,13.024286
UKH3,13.275476
UKI3,13.2963505
UKI4,13.2963505
UKI5,13.232538
UKI6,13.235041
UKI7,13.167536
UKJ1,12.885675
UKJ2,13.464777
UKJ3,13.40069
UKJ4,13.445826
NO09,8.286615
NO0A,7.849481
NO0B,5.223993
HR05,15.21139
HR06,14.98794
NO02,5.550958
NO06,7.325708
NO07,6.026727
NO08,7.4374022
