nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
NL22,8.675409
NL23,8.547602
NL31,8.728418
NL32,8.38653
ITG2,13.873194
ITH1,1.3249451
ITH2,5.305658
FRI3,11.222376
FRJ1,10.632135
FRJ2,10.093714
FRK1,8.901361
FRK2,7.8011413
FRL0,9.49328
FRM0,12.936701
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,13.904047
TR32,13.522821
TR33,10.661188
HR03,11.361719
HR02,10.106623
HU11,9.192072
HU12,9.123957
HU21,9.131372
HU22,9.292109
PT16,13.595331
PT17,15.5707035
FRF2,9.222071
FRF3,8.667475
FRG0,10.686243
FRH0,10.467585
FRI1,11.836115
FRI2,9.880762
ITC4,8.957239
ITF1,10.192194
ITF2,11.224726
ITF3,12.293299
ITF4,14.011927
ITF5,12.175409
ITF6,13.611872
ITG1,15.057703
LT01,4.93728
LT02,5.0658813
LU00,7.685968
PL22,6.894098
PL41,6.8980956
PL42,6.556787
PT18,15.381617
PT20,-273.15
PT30,-273.15
RO11,7.50332
RO12,6.561975
RO21,6.8979735
RO22,9.17367
RO31,9.343988
RO32,9.974665
ITH3,9.49328
ITH4,8.712671
ITH5,11.337702
ITI1,11.876947
ITI2,10.452326
ITI3,11.336512
ITI4,11.439325
LI00,4.555597
FI1D,-0.43198243
TR82,8.933191
TR83,9.623285
TR90,6.480493
TRA1,3.957849
TRA2,2.2492003
PL43,7.3888793
PL51,6.926416
PL52,7.176416
PL61,6.411096
PL62,5.700769
PL63,5.97323
PL71,6.6717772
PL72,6.839044
PL81,6.4456115
PL82,6.8683715
PL84,5.565393
PL91,6.4180846
PL92,6.2436767
PT11,11.894068
PT15,16.13537
TRB1,8.296625
TRB2,5.5640807
TRC1,12.981073
RS12,10.253931
RS21,9.26742
RS22,9.385035
SE11,4.3472533
SE12,4.365747
NL33,8.852259
NL34,9.185785
NL41,9.055506
NL42,8.936396
PL21,6.768274
UKM6,7.5546813
TR22,11.966852
TRC2,13.555017
TRC3,13.855005
UKC1,7.704004
UKC2,7.6824584
UKD1,7.444116
UKD3,7.981439
UKD4,7.923242
UKD6,8.491846
UKD7,8.731684
UKE1,8.565058
UKE2,7.7271056
UKE3,8.284632
RO41,9.449488
RO42,8.856104
RS11,10.666803
TR41,10.637262
TR42,10.344416
TR51,10.007746
TR52,10.099726
TR61,11.700129
TR62,12.588099
TR63,12.390833
TR71,9.906183
TR72,7.8485045
TR81,9.705957
UKK1,8.865992
UKK2,9.134516
UKK3,10.021112
UKK4,9.211664
UKL1,8.644281
UKL2,8.121393
UKM5,7.109918
UKM7,6.9324584
UKM8,7.6271605
UKM9,7.5950255
UKN0,8.394312
SE21,4.718683
SE22,5.3792663
SE23,4.71911
SE31,3.1249938
SE32,0.8643433
SE33,-1.5386719
SI03,8.805719
SI04,8.438257
SK01,8.789972
SK02,8.326014
SK03,6.713098
SK04,7.4457335
TR10,11.506311
TR21,11.312677
UKE4,7.801019
UKF1,8.299616
UKF2,8.705072
UKF3,8.801294
UKG1,8.617731
UKG2,8.24563
UKG3,8.642603
UKH1,8.799433
UKH2,8.936396
UKH3,8.992151
UKI3,9.061396
UKI4,9.061396
UKI5,9.045282
UKI6,9.02865
UKI7,9.000055
UKJ1,8.811335
UKJ2,9.187525
UKJ3,9.148279
UKJ4,9.168207
NO09,2.656549
NO0A,2.5069518
NO0B,1.764032
HR05,10.181818
HR06,9.977869
NO02,0.27111205
NO06,1.6835877
NO07,-0.4558777
NO08,2.1468139
