nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
HU32,13.060297
HU33,13.242456
IE04,11.038416
EE00,8.229822
EL30,19.485895
EL41,19.021936
EL43,19.740717
EL51,15.426966
EL52,16.167048
FI20,8.461298
FR10,12.504084
FRB0,13.007563
FRC1,12.629023
FRC2,11.790125
FRD1,12.400751
FRD2,12.14657
FRE1,12.000452
FRE2,12.0646305
FRF1,11.5915165
NL13,11.284601
NL21,11.527674
NL22,11.725336
NL23,11.691828
NL31,11.740107
NL32,11.896448
ITG2,17.776117
ITH1,4.267877
ITH2,7.6926208
FRI3,13.982691
FRJ1,13.692041
FRJ2,12.951166
FRK1,11.520502
FRK2,10.618708
FRL0,12.589289
FRM0,16.796595
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,18.146845
TR32,17.733118
TR33,14.720636
HR03,15.066736
HR02,13.303186
HU11,12.788141
HU12,12.690058
HU21,12.604761
HU22,12.696466
PT16,16.005762
PT17,17.477411
FRF2,11.969873
FRF3,11.4461
FRG0,13.268732
FRH0,12.988092
FRI1,14.552881
FRI2,12.556757
ITC4,11.990168
ITF1,13.933863
ITF2,14.970209
ITF3,16.130518
ITF4,18.038141
ITF5,16.068354
ITF6,17.49499
ITG1,18.936945
LT01,8.910608
LT02,9.137079
LU00,10.425135
PL22,10.4732
PL41,10.853357
PL42,10.518976
PT18,17.90899
PT20,-273.15
PT30,-273.15
RO11,10.728479
RO12,9.422907
RO21,10.46734
RO22,13.236872
RO31,12.935816
RO32,13.769281
ITH3,12.718378
ITH4,11.877069
ITH5,14.868921
ITI1,15.573053
ITI2,14.241846
ITI3,15.196558
ITI4,15.240961
LI00,7.5419555
FI1D,4.396631
TR82,12.705591
TR83,13.152765
TR90,10.26095
TRA1,8.172205
TRA2,6.959619
PL43,11.208338
PL51,10.495661
PL52,10.9125
PL61,10.356195
PL62,9.762842
PL63,9.969782
PL71,10.69314
PL72,10.690546
PL81,10.451288
PL82,10.355555
PL84,9.680414
PL91,10.491175
PL92,10.315729
PT11,14.455652
PT15,18.345118
TRB1,12.545588
TRB2,10.77453
TRC1,17.40182
RS12,13.8467045
RS21,12.302027
RS22,12.586817
SE11,8.755121
SE12,8.514734
NL33,11.96966
NL34,12.181025
NL41,11.975367
NL42,11.873743
PL21,9.975702
UKM6,10.025263
TR22,16.287165
TRC2,18.490412
TRC3,18.665918
UKC1,10.319971
UKC2,10.252314
UKD1,10.12472
UKD3,10.649439
UKD4,10.6661625
UKD6,11.111383
UKD7,11.479364
UKE1,11.239649
UKE2,10.419153
UKE3,10.970667
RO41,12.78985
RO42,12.023218
RS11,14.089624
TR41,14.511835
TR42,13.919764
TR51,13.994471
TR52,14.130701
TR61,15.62887
TR62,16.239038
TR63,16.03979
TR71,13.993525
TR72,11.147211
TR81,13.246973
UKK1,11.634577
UKK2,11.984613
UKK3,12.59878
UKK4,11.956263
UKL1,11.338099
UKL2,10.707453
UKM5,9.673517
UKM7,9.45318
UKM8,10.145227
UKM9,10.207117
UKN0,10.821222
SE21,9.00802
SE22,9.618036
SE23,9.047358
SE31,6.8424315
SE32,4.9568114
SE33,3.4148803
SI03,11.792139
SI04,11.661402
SK01,12.320948
SK02,11.70138
SK03,9.559168
SK04,10.148401
TR10,16.351587
TR21,15.896387
UKE4,10.483515
UKF1,11.00033
UKF2,11.418482
UKF3,11.530024
UKG1,11.255182
UKG2,10.863123
UKG3,11.313715
UKH1,11.730066
UKH2,11.683893
UKH3,11.950495
UKI3,11.91955
UKI4,11.91955
UKI5,11.866785
UKI6,11.868891
UKI7,11.805628
UKJ1,11.546595
UKJ2,12.136835
UKJ3,12.067591
UKJ4,12.164209
NO09,6.7214904
NO0A,6.112634
NO0B,3.1049743
HR05,13.386377
HR06,13.1471195
NO02,3.8328795
NO06,5.6885924
NO07,3.8435302
NO08,5.8123717
