nuts,June Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
HU23,20.68017
HU31,20.115046
HU32,21.03805
HU33,21.17428
IE04,13.548731
EE00,15.57049
EL30,24.817225
EL41,23.530664
EL43,23.749567
EL51,22.178766
EL52,23.192621
FI20,12.958307
FR10,17.378443
FRB0,17.977015
FRC1,18.151087
FRC2,17.59118
FRD1,16.090174
FRD2,16.209925
FRE1,16.065699
FRE2,16.590082
FRF1,17.724024
NL13,15.852747
NL21,16.22613
NL22,16.51919
NL23,15.948572
NL31,16.19073
NL32,15.36413
ITG2,21.836176
ITH1,10.942347
ITH2,14.349054
FRI3,18.690302
FRJ1,18.734125
FRJ2,17.883814
FRK1,16.805048
FRK2,16.55279
FRL0,18.257318
FRM0,20.69958
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,24.431055
TR32,23.87823
TR33,21.490778
HR03,20.799524
HR02,20.71435
HU11,20.614618
HU12,20.486597
HU21,20.209284
HU22,20.217646
PT16,20.264215
PT17,20.126612
FRF2,17.285791
FRF3,17.189966
FRG0,17.65243
FRH0,16.0664
FRI1,19.100397
FRI2,17.423334
ITC4,18.850885
ITF1,19.625422
ITF2,20.619776
ITF3,21.059626
ITF4,23.32049
ITF5,21.847986
ITF6,21.94375
ITG1,22.680567
LT01,16.623499
LT02,16.366419
LU00,15.912012
PL22,17.259577
PL41,17.512812
PL42,16.523859
PT18,22.386347
PT20,-273.15
PT30,-273.15
RO11,18.278925
RO12,17.068323
RO21,18.722101
RO22,21.410425
RO31,21.123438
RO32,22.347803
ITH3,19.309229
ITH4,18.305445
ITH5,21.407282
ITI1,20.682093
ITI2,20.04098
ITI3,21.045038
ITI4,20.404108
LI00,13.864801
FI1D,13.680994
TR82,18.735834
TR83,19.236933
TR90,16.509485
TRA1,15.514978
TRA2,13.999567
PL43,17.732294
PL51,17.01098
PL52,17.626825
PL61,16.958673
PL62,16.553034
PL63,15.97024
PL71,17.665308
PL72,17.763971
PL81,17.896936
PL82,17.571344
PL84,17.054651
PL91,17.68014
PL92,17.463251
PT11,19.01806
PT15,21.318201
TRB1,20.650293
TRB2,18.746424
TRC1,25.495935
RS12,21.726313
RS21,19.303522
RS22,19.883905
SE11,14.47262
SE12,15.263117
NL33,16.035639
NL34,16.325617
NL41,16.79278
NL42,16.944544
PL21,16.797358
UKM6,11.792139
TR22,22.586359
TRC2,27.411585
TRC3,27.71145
UKC1,13.349573
UKC2,13.1644535
UKD1,13.173029
UKD3,14.0246525
UKD4,13.779261
UKD6,14.506464
UKD7,14.522577
UKE1,14.320154
UKE2,13.568476
UKE3,14.49267
RO41,20.772516
RO42,19.272364
RS11,21.734919
TR41,21.09466
TR42,19.937037
TR51,20.938837
TR52,21.129328
TR61,21.76208
TR62,22.152124
TR63,22.62887
TR71,21.101587
TR72,18.022058
TR81,18.969324
UKK1,15.202051
UKK2,14.96966
UKK3,14.550867
UKK4,14.503046
UKL1,13.897028
UKL2,14.020563
UKM5,12.068293
UKM7,12.440943
UKM8,13.139399
UKM9,12.930506
UKN0,13.297419
SE21,14.943811
SE22,15.115686
SE23,15.131922
SE31,14.200647
SE32,12.619623
SE33,11.987635
SI03,18.747766
SI04,18.203028
SK01,19.693995
SK02,18.945307
SK03,16.601618
SK04,17.349298
TR10,22.315424
TR21,22.681757
UKE4,13.896601
UKF1,14.6002445
UKF2,15.13891
UKF3,14.992701
UKG1,14.879236
UKG2,14.367456
UKG3,14.975519
UKH1,14.995203
UKH2,15.44198
UKH3,15.409815
UKI3,15.716486
UKI4,15.716486
UKI5,15.625727
UKI6,15.637262
UKI7,15.577112
UKJ1,15.299738
UKJ2,15.2486515
UKJ3,15.333887
UKJ4,15.4214115
NO09,12.727289
NO0A,11.038477
NO0B,3.0181518
HR05,20.794336
HR06,20.54458
NO02,11.382288
NO06,11.36178
NO07,10.047266
NO08,12.939325
