nuts,Summer Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
TR71,24.543116
TR72,21.629175
TR81,21.704432
UKK1,17.434687
UKK2,17.257929
UKK3,16.892267
UKK4,16.81283
UKL1,16.11886
UKL2,16.192102
UKM5,14.346125
UKM7,14.542841
UKM8,15.157984
UKM9,15.053003
UKN0,15.428553
SE21,17.45611
SE22,17.602137
SE23,17.414118
SE31,16.431849
SE32,14.751307
SE33,14.241602
SI03,21.1047
SI04,20.792566
SK01,21.974604
SK02,21.231318
SK03,18.882715
SK04,19.571955
TR10,25.069544
TR21,25.450861
UKE4,16.076502
UKF1,16.827906
UKF2,17.442041
UKF3,17.405603
UKG1,17.1242
UKG2,16.556543
UKG3,17.219599
UKH1,17.5422
UKH2,17.813929
UKH3,17.926996
UKI3,18.075495
UKI4,18.075495
UKI5,18.00149
UKI6,17.976221
UKI7,17.911127
UKJ1,17.587824
UKJ2,17.65838
UKJ3,17.645044
UKJ4,17.91009
NO09,15.046381
NO0A,13.532282
NO0B,6.3854003
HR05,23.167871
HR06,22.810785
NO02,13.61178
NO06,13.666681
NO07,12.713129
NO08,15.244379
